0,1,2,3,4,5,6,7,8,9,10
3213469,"DRESSING, HONEY MUSTARD SWEET REF PLASTIC JAR",0,1,1.0,1,1,1,1,1,1
1328608,"DRESSING, COLESLAW CREAMY SHELF STABLE PLASTIC JAR",0,0,0.0,,4,3,3,3,4
5328406,"DRESSING, RANCH BUTTERMILK REF PLASTIC JAR HOMESTYLE",9,7,2.0,10,10,15,7,5,10
8025207,"CHICKEN, GIZZARD BONELESS RAW FROZEN",4,2,4.0,5,2,,6,6,4
8366296,"SURIMI, IMITATION CRABMEAT CHUNK and FLAKE COOKED FROZEN VALUE MSC DOMESTIC",2,2,0.5,0.5,2,2,0.5,,2
3138880,"SAUSAGE, CHORIZO PORK GROUND RAW FROZEN",1,1,1.0,1,1,1,1,1,1
1017127,"HAM, BONELESS BUFFET NATURAL-JUICE HARDWOOD SMOKED COOKED REF BAG 3-DIAMOND",,1,2.0,1,1,,2,0.5,0
616400,"ROLL, HOAGIE WHITE 3.5 OZ 8 SLICED COOKED BAKED FROZEN BAG HEARTH SUBMARIN",10,8,0.0,9,7,5,10,7,8
207498,"BREAD, WHEAT BERRY 17 SLICED 11/16 LOAF FROZEN",8,3,3.0,1,8,8,6,5,6
2633394,"BREAD, RYE MARBLE 17 SLICED 5/8 LOAF BAKED FROZEN",8,8,5.0,2,6,8,6,5,4
4320487,"CHILI, BEEF NO BEAN RTU TUB FROZEN",5,3,6.0,3,2,1,5,4,3
5602354,"APPETIZER, CHEESE MOZZARELLA BREADED ITALIAN STICK 3.25 TFF RAW FROZEN BAG",4,3,4.0,,8,3,4,8,1
4182234,"APPETIZER, POTATO PEPPER CHEDDAR BREADED FROZEN SOUTHWESTERN MUNCHER",12,12,6.0,6,6,6,3,6,1
3041423,"CORN DOG, ALL-MEAT FROZEN",1,0.25,1.0,1,0.25,1,1.5,1,0.25
4328910,"HOT DOG, ALL-BEEF 5:1 6 ROLLER GRILL COOKED FROZEN",0.5,0.5,0.5,,1,0.5,0.5,5,0.5
2725042,"CHICKEN, WING 1ST-and-2ND-JOINT MEDIUM RAW CVP REF UNFLAVORED",4,8,8.0,8,11,8,6,10,5
2720977,"CHICKEN, BREAST DOUBLE-LOBE RANDOM BONELESS SKINLESS RAW REF CVP JUMBO",1,2,3.0,2,4,2,3,1,2
2725661,"Chicken, Breast Double-lobe 6 Oz Boneless Skinless Ref Cvp",2,1,2.0,1,2,1,1,1,2
5314208,"BEEF, CUTLET SELECT RAW FROZEN",3,3,3.0,2,5,3,1,3,2
3408822,"BEEF, RIBEYE 112A 2X2 LIP-ON RAW REF VACUUM-PACK",3,15,7.0,5,5,10,7,5,4
4558003,"BEEF, PHILLY FLAT RAW 4 OZ FROZEN BAG SLICED SOLUTION ADDED MODERATELY",1,0.5,1.5,2,2,2.5,2,1,1
2571705,"BEEF, CHUCK SHOULDER CLOD CHOICE ANGUS 114 BONELESS RAW REF",4,12,3.0,3,3,,6,4,0
6740178,"SHRIMP, 41-50 WHITE PEELED-and-DEVEINED TAIL-OFF RAW IQF FROZEN BAG NO-PHOS-A",1.6,7,4.0,0.2,3.6,2.6,1.4,,1.5
6911663,"PANGASIUS, STRIPED 5-7 OZ FILLET PBO SKINLESS RAW IQF FROZEN FARMED SWAI",3,3,3.0,2,3,4,3,1,3
4661918,"SHRIMP, 16-20 WHITE PEELED-and-DEVEINED TAIL-ON RAW IMPORTED IQF FROZEN BAG F",1,13,7.0,1.4,2.8,2,2.2,1.6,1.5
1552124,"POTATO, FRENCH-FRY SHOESTRING 1/4 COATED CLEAR EXTRA-LONG-FANCY FROZEN",7,2,9.0,,7,12,6,9,11
6083968,"POTATO, TATER NUGGET TFF PARFRIED FROZEN PUFF",3,2,5.0,4,6,5,1,2,3
7979586,"POTATO, SWEET FRENCH-FRY WAFFLE CUT THIN COATED FROZEN",,1,1.0,,2,1,2,2,1
6450068,"HUSH PUPPY, JALAPENO PARFRIED FROZEN BAG APPETIZER",1,1,1.0,,2,2,0,2,3
1633130,"BACON,SLAB #2 CURED",2,1.5,0.0,2,1,1,2,1,1.5
2240046,"BACON, PORK END and PIECE REAL DICED .25 SMOKED CURED COOKED REF GAS FLUSHED",2,2,0.0,4,3,3,2,3,1
1321470,"BROWNIE, PECAN NOT ICED SHEET 1/2 24 SLICED TRAY FROZEN",48,48,48.0,48,48,48,48,48,48
6758940,"ICE CREAM, VANILLA BEAN 15% BUTTERFAT FROZEN PAPER TUB ALL NATURAL",1,1,1.0,0.5,1,0.5,0,1,0
766949,"ICE CREAM, CHOCOLATE TUB",1,1,1.0,1.5,1,1,1,1,0
843771,"TOPPING, WHIPPED NON-DAIRY ULTRA PASTEURIZED AEROSOL REF",8,7,3.0,3,,22,21,20,12
9487478,"CHEESECAKE, RASPBERRY DONUT 10 14 SLICED TRAY FROZEN CAKE",,1,2.0,2,2,,2,8,28
755207,"CAKE, LAYER 2 CARROT ICED 9 14 SLICED GRANDMAS BOX FROZEN",2,1,0.0,2,2,2,2,16,0
31765,"CAKE, CHOCOLATE GLAZED 5 OZ SS TRAY PACK FROZEN MOLTEN",27,6,48.0,36,36,24,18,18,27
5182720,"BAR MIX, GRENADINE PLASTIC SHELF STABLE COCKTAIL",4,5,3.0,3,3,2,3,4,3
5308139,"JUICE, CLAMATO DRINK 34% ORIGINAL PET PLASTIC BOTTLE SHELF STABLE",5,4,6.0,5,5,3,0,6,4
4550881,"DRINK, SODA TONIC WATER CANADA DRY PET PLASTIC BOTTLE",12,15,12.0,12,12,12,12,12,12
4781939,"DRINK, SODA CLUB CANADA DRY PET PLASTIC BOTTLE",12,8,12.0,12,12,12,8,8,3
8915027,"STRAW, GIANT 7.75 BLACK UNWRAPPED STANDARD PLASTIC",7,7,6.0,4,2,2,0,10,9
3002128,"SALT, KOSHER NOT IODIZED GRANULATED COARSE BOX SHELF STABLE",8,8,6.0,4,6,7,7,6,6
3056553,"SUGAR, RAW CANE CRYSTAL BAG TURBINADO",8,6,6.0,4,6,4,4,3,3
2006625,"JUICE, PINEAPPLE 100% CAN SHELF STABLE",2,14,24.0,24,21,20,12,13,9
7221484,"JUICE, GRAPEFRUIT RUBY RED 100% PLASTIC BOTTLE SHELF STABLE",4,4,8.0,1,24,27,24,16,6
2327856,"JUICE, ORANGE 100% VITAMIN C ADDED ASEPTIC CARTON SHELF STABLE",,0,9.0,9,12,9,9,6,2
6310726,"JUICE, CRANBERRY DRINK 27% BAR PAC MIXER PLASTIC BOTTLE SHELF STABLE",10,9,10.0,10,3,3,3,7,6
6033922,"BAR MIX, SWEET and SOUR LEMON SHELF STABLE COCKTAIL",,0,0.0,4,,2,0,2.5,3
9057316,"BAR MIX, LIME FOIL BAG SHELF STABLE COCKTAIL",5,8,7.0,7,6,6,5,4,5
18267,"BAR MIX, MARGARITA CONCENTRATE 7:1 PLASTIC BOTTLE SHELF STABLE COCKTAIL",5,6,4.0,4,3,3,2,2.5,1.5
3161452,"BAR MIX, MANGO PUREE CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",1,1,3.0,3,2,2,1,1,0
6948384,"BAR MIX, PEACH CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",2,2,2.0,3,2,2,2,2,1
6948426,"BAR MIX, PINA COLADA CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",4,2,0.0,,,1,0,12,24
7071236,"BAR MIX, STRAWBERRY CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",10,8,5.0,3,,11,8,9,6
7800469,"NAPKIN, BEVERAGE WHITE 9.5X9.5 1 PLY PAPER 1/4 FOLD",7,4,2.0,1,8,6,5,4,2
3333705,"OLIVE, MANZANILLA GREEN STUFFED PIMIENTO 300-320 COUNT SHELF STABLE GLASS J",2,2,0.5,1,1.5,1,1,0.75,0
1205582,"STRAWBERRY, CLAMSHELL FRESH REF",-,-,-,-,-,-,-,-,1
2186153,"PINEAPPLE, GOLDEN FRESH REF",-,-,-,-,-,-,-,-,1
9357214,"ORANGE, NAVEL OR VALENCIA CHOICE 88 COUNT FRESH REF BOX",-,-,-,-,-,-,-,-,3
5881594,"CHERRY, MARASCHINO W/ STEM LARGE PLASTIC",1,1,1.0,0.5,0.5,1,1,0.75,0
8387194,"WATER, MINERAL GLASS BOTTLE",8,4,9.0,17,10,18,1,2,18
7804644,"CONTAINER, FOAM 9X9 1 CMPT WHITE 3.25H HINGED LID DUAL TAB OPTIONAL VENTIN",0.5,3,2.0,2,2.5,2.5,1.5,3,2
6617609,"CONTAINER, FOAM 6X6 1 CMPT WHITE 3H HINGED LID",3,1,3.0,3,3,3,2,3,1
6861538,"CONTAINER, PLASTIC 9 HEXAGON 1 CMPT BLACK HINGED LID CARRY-OUT",1,1,1.0,1,1,1,0.75,1,1
6861488,"CONTAINER, PLASTIC 7 HEXAGON 1 CMPT BLACK 3 H HINGED LID CARRY-OUT",1,0.5,1.0,1,1,1,0.5,1,1
738898,"BAG, CARRY-OUT 8 LB PAPER WHITE GROCERY",400,400,400.0,400,500,500,0.2,,1
1310994,"BAG, FRENCH-FRY 5.5X4.5 PAPER WHITE GREASE RESISTANT",1.25,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2
8917627,"KIT, CUTLERY SALT-and-PEPPER K-F-S NAP HEAVYWEIGHT BLACK POLYSTYRENE PLASTIC",2,1.5,1.5,0.75,0.25,1.5,2.5,1,0.5
7008703,"BAG, T-SHIRT 11.5X6.5X21 POLYETHYLENE WHITE THANK YOU STOCK PRINT 12 MIC CA",0.25,0,1.0,1,1,1,0.25,,1
3136199,"SUGAR SUB, PINK SWEET and LOW 1 GR SS PACKET SACCHARIN",,1,1.0,0.5,1,1,0.5,1,0.5
4329314,"MUSTARD, YELLOW SS POUCH",1,1,1.0,1,1,1,1,,0
8568531,"MAYONNAISE, SS POUCH SHELF STABLE",1,1,1.0,,1,1,1,0.5,0.75
9329384,"KETCHUP, TOMATO FANCY 33% SS FOIL PACKET SHELF STABLE",1,1,1.0,0.5,0.5,0.25,0.25,,1
2835205,"BAG, FLATWARE 2.75X10 PAPER WHITE SILVERWARE",0.5,1.5,0.0,1.5,1,0.25,1.25,1,0.5
4261905,"PEPPER, JALAPENO SLICED NACHO MILD IN VINEGAR CAN SHELF STABLE",4,3,1.0,5,4,3,2,2,1
4352191,"SAUCE, MARINARA TOMATO CAN SHELF STABLE DELUXE",6,5,4.0,3,2,7,5,4,3
6329205,"BEAN, GREEN BLUE LAKE CUT 3-5 SIEVE EXTRA STANDARD CANNED",6,0,4.0,9,9,7,2,14,5
9329269,"TOMATO, WHOLE IN JUICE PEELED CANNED",9,6,3.0,3,,6,6,6,2
9261892,"TOMATILLO, CRUSHED GREEN CANNED IMPORTED MEXICO",1,5,5.0,4,4,4,3,3,2
7200736,"PICKLE, DILL CRINKLE-CUT CHIP 1/8 PLASTIC SHELF STABLE",4,3,2.0,,2,3,2,1,2
2353829,"FLOUR, ALL-PURPOSE",1,9,2.0,5,3,1,7,4,3
6329924,"SALT, TABLE IODIZED BAG",1,1,0.0,1,1,1,0,1,1
760827,"SPICE, PEPPER BLACK GROUND PLASTIC JUG 30M",1,1,0.0,,1,1,1,1,0
8383283,"SUGAR, WHITE CANE EXTRA FINE BAG",1,0,1.0,,1,2,1,1,0
8047557,"MIX, GRAVY PEPPER ADD WATER",4,14,4.0,11,7,10,10,7,9
3749580,"MIX, GRAVY BROWN POUCH SHELF STABLE CLASSIC",7,8,7.0,9,6,8,4,13,6
6326698,"ONION, YELLOW WHOLE SUPER COLOSSAL 4 1/4+ FRESH REF BAG",1.5,3,1.0,1,1,2,1.5,1.5,1
4326690,"ONION, RED JUMBO FRESH REF BAG",1,1,1.0,,1,0,1,1,0
4289443,"POTATO, YUKON GOLD A SIZE FRESH REF",0.5,1,0.0,,2,0.5,0,1,1
2326700,"POTATO, RUSSET IDAHO 40 COUNT FRESH REF",3,1.5,3.0,1,2,2,2,1,3
9579777,"BASE, SOUP CHICKEN FLAVOR GRANULAR PAIL SHELF STABLE",0.25,1.25,1.3,1,1,1,1,1,1
2228849,"BREADER, FISH SEASONED BAG",1,0.5,1.5,1,1,0,1.5,1,0
7501752,"KETCHUP, TOMATO FANCY 33% RED PLASTIC BOTTLE SHELF STABLE",48,36,24.0,,24,48,24,48,0
190009,"KETCHUP, TOMATO FANCY 33% BAG-IN-BOX SHELF STABLE",1,2.5,1.0,1,2,1,2.5,2,0
7637705,"SHORTENING, FRYING RICE BRAN LIQUID CLEAR NON GMO OIL",0.25,0,1.5,2,1.5,1.25,1.25,1.25,1
7329113,"MAYONNAISE, EXTRA-HEAVY PLASTIC JUG SHELF STABLE",5,9,3.0,4,5,5,9,7,4
4364063,"MUSTARD, YELLOW PLASTIC JAR SHELF STABLE",,1,1.0,1,1,1,0,1,1
3636982,"SAUCE, WORCESTERSHIRE PLASTIC JUG SHELF STABLE",1,1,1.0,2,1,,1,1,1
8013625,"SAUCE, HOT RED PLASTIC JUG SHELF STABLE ORIGINAL",1,2,3.0,2,5,3,2,4,2
698688,"OIL, BUTTER ALTERNATIVE SOYBEAN SALTED LIQUID PLASTIC BOTTLE",2,1,3.0,2,2,1,1,,2
8003956,"SAUCE, TERIYAKI GLAZE PLASTIC JUG SHELF STABLE",,0,1.0,1,,,2,1,0
78964,"SAUCE, BBQ PLASTIC JUG SHELF STABLE ORIGINAL",3,3,2.0,3,3,2,2,2,2
9837196,"SAUCE, CHILI SWEET PLASTIC JUG SHELF STABLE WING",2,1,4.0,4,3,3,2,2,1
1328335,"VINEGAR, DISTILLED WHITE DOMESTIC 50 GRAIN PLASTIC JUG",2,1.25,1.0,0.5,4,4,4,4,4
9002080,"SAUCE, STEAK A-1 GLASS BOTTLE SHELF STABLE",12,12,0.0,16,13,18,16,16,24
3018538,"SAUCE, HOT GLASS BOTTLE SHELF STABLE ORIGINAL",,24,24.0,24,24,24,20,16,24
8218208,"SAUCE, HOT LOUISIANA GLASS BOTTLE SHELF STABLE",11,12,12.0,12,12,12,12,12,12
5610571,"CROUTON, SEASONED CUBE SS .5X.5X.5",1.5,1.25,1.5,1,1.5,1.25,1.25,1.5,1
1177922,"CRACKER, SALTINE SALTED SHELF STABLE",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
7945926,"CRACKER, SALAD WAFER IW",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
5601679,"CHIP, POTATO SS BAG SHELF STABLE REGULAR",1,1,0.5,,1,1,1,0.75,0
9855909,"STRAW, JUMBO 7.75 TRANSLUCENT WRAPPED PAPER STANDARD POLYPROPYLENE BOX",4,2,8.0,6,4,6,4,3,3
4060067,"TOOTHPICK, WOOD MINT WRAPPED",2,0,1.0,1,1,1,1,1,4
3605755,"TRAY, PAPER FOOD .5 LB COATED KRAFT BROWN ECOCRAFT",,6,1.0,2,3,4,4,7,2
7333263,"SEASONING, FAJITA SHELF STABLE SPICE",1,1,2.0,1,2,1,2,1,1
6501159,"SEASONING, LEMON PEPPER PLASTIC SHAKER SHELF STABLE SPICE",1,2,2.0,1,2,2,1,2,1
184937,"TEA BAG, ICED BLACK ORANGE PEKOE CAFFEINATED 4 GAL YIELD FILTER-POUCH SHELF",16,16,32.0,24,24,16,8,4,24
9206974,"TEA BAG, ICED BLACK SWEETENED CAFFEINATED 3 GAL YIELD FILTER PACK",,22,6.0,14,6,16,16,8,6
1201093,"CUP, PET PLASTIC 20 OZ SPECIAL PRINT",0.5,3.5,1.0,3,2,3,1.5,2,2
1637321,"LID, CUP 12-24 OZ FLAT PET PLASTIC TRANSLUCENT",1.5,0.5,0.0,1.5,1,1.5,0.5,1,1.5
1851438,"CUP, SOUFFLE POLYSTYRENE 3.25 OZ TRANSLUCENT PORTION PLASTIC",1,0.5,1.0,0.5,0.25,1,0.5,0.75,0
2939411,"LID, CUP SOUFFLE 3.25-4 OZ FLAT PET PLASTIC CLEAR PLASTIC COVER",,1,0.5,1,0.5,0.25,0.5,1,0.25
7005226,"CONTAINER, FOAM 4 OZ SQUAT WHITE",,1,1.0,0.25,0.25,,1,1,0.5
7002041,"LID, CUP 4-6 OZ VENTED PLASTIC WHITE",0.5,0.5,0.5,1,2,2,2,1.25,1
6883961,"CONTAINER, FOAM 6 OZ SQUAT WHITE",1,1,0.5,1.25,1,1,0.75,1,0.5
1051822,"LID, BOWL VENTED 6-8 OZ ROUND PLASTIC TRANSLUCENT",2,1.5,0.5,0.25,2,1.5,1.5,2.25,0.5
8609174,"TOWEL, PAPER 9X11 PERFORATED ROLL WHITE 2 PLY 85 SHEET",,1,0.8,1,0.25,0.5,1,0.25,1
8869828,"NAPKIN, DISPENSER INTERFOLD BROWN 7.88X6.5 PAPER 1 PLY RECYCLED",,2,0.3,1.25,0.25,1.5,0.5,2.5,40
4818803,"WRAP, 12X12 WAX PAPER NATURAL FLAT PACK GREASE RESISTANT",1,0,5.0,5,4,5,3,4,4
511550,"LINER, BASKET 12X12 PAPER RED CHECKERED GINGHAM",5,4,1.0,5,5,3,2,2,0
1328699,"SHORTENING, FRYING SOYBEAN LIQUID CLEAR PLASTIC JUG SHELF STABLE OIL",2,11,5.0,15,12,5,13,7,4
4594181,"PAPER, 18X1100' FREEZER PAPER WHITE WRAP",2,1,1.0,1,1,1,1,0.5,1
4834081,"FILM, 18X2000' PLASTIC ROLL SLIDE CUTTER BOX FOOD WRAP",0.5,1,1.0,0.25,0.25,1,1,,1.5
5328257,"FOIL, ALUMINUM 18X500' HEAVY-DUTY ROLL CUTTER BOX WRAP",0.75,1,1.0,0.5,1,1,0.25,0.5,0.5
6328249,"FOIL, ALUMINUM 12X1000' STANDARD ROLL CUTTER BOX WRAP",0.75,0.25,1.0,1,1,1,0.5,0.5,0.5
3328259,"WRAP, FOIL 9X10.75 INTERFOLD POP UP SHEET ALUMINUM",1,0.25,4.0,,1,1,0.5,1,1
6328777,"MIX, DRESSING ITALIAN 1 GAL YIELD PACKET",4,4,30.0,4,4,4,4,4,5
7248339,"MIX, DRESSING RANCH 1 GAL YIELD PACKET",10,10,1.0,10,20,20,10,20,20
9041252,"CRACKER MEAL, CRUSHED MEDIUM BAG KRISPY SALTINE CRUMB",1,1,2.0,1,1,1,13,,1
3013885,"FILTER, FRYER GREASE CONE 10 PAPER NON-WOVEN ECONOLINE",2,2,1.0,2,1.5,1.5,1.5,1.5,1
1504521,"LABEL, 2X3 REMOVABLE 500 ROLL IN/OUT",1,1,1.0,1,1,1,10,1,1
2550762,"HAIRNET, NYLON 24 BROWN LIGHTWEIGHT",1,0,1.0,2,3,4,1,3,1
9551578,"PICK, WOOD 4 ASSORTED COLOR FRILL",1,1,0.0,,,,1.5,8,6
2330652,"FORK, DINNER WINDSOR 18/0 S/S MEDIUMWEIGHT",,1,0.0,2,2,,1,,0
1330695,"KNIFE, STEAK 4.75 S/S PLASTIC HANDLE BLACK",2,3,0.0,3,2,,2,4,1
445098,"TAPE, THERMAL CASH REGISTER WHITE 3.13X200' PAPER 1 PLY ROLL",2,46,40.0,20,17,22,10,3,0
4085338,"GUEST CHECK, SHRINK PACK SINGLE PAPER 3.5X6.75 PINK",,0,100.0,100,80,70,50,70,60
2948859,"GRILL BRICK, 4X3.5X8 GLASS DUST SOFT WRAPPED GRIDDLE",12,12,10.0,12,9,8,8,8,6
2950343,"SCRUBBER, S/S 50 GR HEAVY-DUTY 400 SERIES ECONOMY",6,6,4.0,,6,6,9,6,7
9075643,"SANITIZER, SURFACE FOOD CONTACT LIQUID SPRAY BOTTLE CLEAR SLIGHT SCENT K85",4,4,2.0,6,5,3,0,5,2
7912678,"CLEANER, GLASS K42 LIQUID SPRAY BOTTLE BLUE FLORAL SCENT",1,1,1.0,1,1,1,1,1,0
5341169,"CLEANER, OVEN and GRILL K13 LIQUID BOTTLE DARK ORANGE ODORLESS DEGREASER",,4,2.0,,3,0,3,1.25,2
7153448,"CLEANER, ALL-PURPOSE LIQUID SPRAY BOTTLE CLEAR W/ BLEACH",4,4,6.0,6,5,4,3,3,1
7945058,"DEGREASER, ALL-PURPOSE VP3 LIQUID JUG BLUE CLEANER",2,0,10.0,7,7,7,1,6,4
7886112,"GLOVE, POLY XL CLEAR STRETCH AMBIDEXTROUS",5,2,0.0,12,10,5,2,2,0
8362022,"DETERGENT, DISHWASHER D21 LIQUID PAIL RED ODORLESS LOW TEMP",1,1,1.0,1,1,1,1,1,1
8366320,"RINSE ADDITIVE, DISHWASHER D22 LIQUID PAIL GREEN HIGH SOLID",1,1,1.0,1,1,1,1,1,1
6365084,"SANITIZER, DISHWASHER D23 LIQUID PAIL CLEAR YELLOW LOW TEMP",1,1,1.0,1,1,1,1,1,1
9625922,"TOWEL, PAPER 7.88X15 CENTERPULL PERFORATED WHITE 1 PLY 320 SHEET",4,6,5.0,6,7,8,0,8,3
95745,"TISSUE, TOILET JUMBO ROLL 3.3X1000' N-PERF 2 PLY WHITE",6,11,3.0,9,4,9,3,6,11
8648164,"TOWEL, PAPER 9.5X9 MULTIFOLD BROWN 1 PLY",2,24,0.5,,0.5,0.5,0.25,1.5,16
5751965,"DEODORIZER, URINAL SCREEN WAVE 3D SOLID BOX BLUE COTTON BLOSSOM SCENT",5,5,5.0,5,5,5,0,5,5
2950699,"MOP HEAD, CUT END #24 COTTON 4 PLY NARROW BAND NATURAL",3,0,2.0,2,2,,1,1,3
7826506,"LINER, 33 GAL 33X38 BLACK 1.2 MIL CORELESS ROLL LINEAR LOW DENSITY REPROCES",3,2,3.0,1,5,4,4,3,1
7826290,"LINER, 60 GAL 38X58 BLACK 1.2 MIL CORELESS ROLL LINEAR LOW DENSITY REPROCES",3,7,3.0,5,3,5,5,4,5
4647806,"DETERGENT, DISH MANUAL LIQUID BOTTLE BLUE",4,0,3.0,,10,7,5,3,8
2959917,"CLEANER, FLOOR ALL SURFACE F22 LIQUID PACKET BROWNISH RED PLEASANT SCENT",1.25,1,1.0,0.5,,,1,0.5,50
1010412,"PEPPER, BELL GRN DCD 1/4""",,,,,,,,,
2332104,"CELERY, DCD 1/4"" FRESH REF",,,,,,,,,
6326706,"POTATO, RUSET ID. 70 CT 10-13",,,,,,,,,
8602054,"CUP, PET PLST 9 Z SQT CLD CLR",,,,,,,,,
7589787,"BACON, PORK RNDM CT SLCD BULK",,,,,,,,,
6395610,"SUGAR, WHT EX FINE CANE",,,,,,,,,
9505647,"AVOCADO, HASS BRKER STG 2-3 #1",,,,,,,,,
760785,"SPICE, PPR BLK GRND PLST JUG",,,,,,,,,
2745578,"PLATE, FM 10.25"" 3 CMPT WHT",,,,,,,,,
6896393,"KIT, CTLY K-F-S NAP MW SLVR",,,,,,,,,
7912660,"CLEANER, OVN & GRIL K44 AERSL",,,,,,,,,
2305118,"ASPARAGUS, GRN BNCH LG 6-11 LB",,,,,,,,,
3551421,"LEMON, FRESH REF",,,,,,,,,
1901586,"MEAT SUB, MTBL MEATL VEGAN CKD",,,,,,,,,
7355280,"AVOCADO, HASS BRKER STG 2-3 #2",,,,,,,,,
6899289,"CRAYON, 4 PK ASST",,,,,,,,,
7607237,"CUP, PLST 12Z KID SEA W/LID&ST",,,,,,,,,
0,,,,,,,,,,
466821,"BACON, PORK SLCD SLAB RAW FZN",,,,,,,,,
6714032,"BEEF, RBY 112A 2X2"" LON RW F2F",,,,,,,,,
8429292,"JUICE, APPL 100% VITMN C ADDED",,,,,,,,,
9284670,"PORK, LOIN CC BELLY STRAP EXP",,,,,,,,,
6328116,"CORN, YLW KRNL FCY FZN BAG",,,,,,,,,
6364616,"LINER, 12-16 GAL 24X32 CLR .35",,,,,,,,,
9917069,"OIL, OLIV POMCE IMP ITALY",,,,,,,,,
