0,1,2,3,4,5,6,7,8
1637321,"LID, CUP 12-24 OZ FLAT PET PLASTIC TRANSLUCENT",1,2,1,1.25,1.5,1,2
1851438,"CUP, SOUFFLE POLYSTYRENE 3.25 OZ TRANSLUCENT PORTION PLASTIC",1,15,0.5,,1,1,10
2939411,"LID, CUP SOUFFLE 3.25-4 OZ FLAT PET PLASTIC CLEAR PLASTIC COVER",1,20,0.5,,1,20,10
7005226,"CONTAINER, FOAM 4 OZ SQUAT WHITE",0,25,1,1,1,0,1
7002041,"LID, CUP 4-6 OZ VENTED PLASTIC WHITE",1,10,1.5,1.5,1,1,1
6883961,"CONTAINER, FOAM 6 OZ SQUAT WHITE",1,30,0.75,0.25,1,1,1
1051822,"LID, BOWL VENTED 6-8 OZ ROUND PLASTIC TRANSLUCENT",1,12,1,1,0.2,1,1
8609174,"TOWEL, PAPER 9X11 PERFORATED ROLL WHITE 2 PLY 85 SHEET",3,0,,,6,0,3
8869828,"NAPKIN, DISPENSER INTERFOLD BROWN 7.88X6.5 PAPER 1 PLY RECYCLED",48,24,1,,24,0,5
4818803,"WRAP, 12X12 WAX PAPER NATURAL FLAT PACK GREASE RESISTANT",2,2,2,2,1,1,1
511550,"LINER, BASKET 12X12 PAPER RED CHECKERED GINGHAM",2,5,5,4,3,1,5
1328699,"SHORTENING, FRYING SOYBEAN LIQUID CLEAR PLASTIC JUG SHELF STABLE OIL",1,4,2,5,2,3,4
4594181,"PAPER, 18X1100' FREEZER PAPER WHITE WRAP",0,1,1.25,1.5,1,1,1
4834081,"FILM, 18X2000' PLASTIC ROLL SLIDE CUTTER BOX FOOD WRAP",0,1,1,,1,1,1
5328257,"FOIL, ALUMINUM 18X500' HEAVY-DUTY ROLL CUTTER BOX WRAP",1,1,1,,1,1,1
6328249,"FOIL, ALUMINUM 12X1000' STANDARD ROLL CUTTER BOX WRAP",0,1,1,1,0,1,2
3328259,"WRAP, FOIL 9X10.75 INTERFOLD POP UP SHEET ALUMINUM",3,0,1.5,0.25,3,0,1
6328777,"MIX, DRESSING ITALIAN 1 GAL YIELD PACKET",13,13,12,12,12,11,12
7248339,"MIX, DRESSING RANCH 1 GAL YIELD PACKET",0,0,-,-,0,0,0
9041252,"CRACKER MEAL, CRUSHED MEDIUM BAG KRISPY SALTINE CRUMB",0,0,-,-,0,0,0
3013885,"FILTER, FRYER GREASE CONE 10 PAPER NON-WOVEN ECONOLINE",1,1,-,-,1,0,0
1504521,"LABEL, 2X3 REMOVABLE 500 ROLL IN/OUT",0,1,1,1,1,0,1
2550762,"HAIRNET, NYLON 24 BROWN LIGHTWEIGHT",1,1,1,1,1,2,0
9551578,"PICK, WOOD 4 ASSORTED COLOR FRILL",0,0,1,,0,1,0
2330652,"FORK, DINNER WINDSOR 18/0 S/S MEDIUMWEIGHT",1,1,1,,0,1,0
1330695,"KNIFE, STEAK 4.75 S/S PLASTIC HANDLE BLACK",3,3,1,4,0,3,2
445098,"TAPE, THERMAL CASH REGISTER WHITE 3.13X200' PAPER 1 PLY ROLL",21,15,14,13,8,0,50
4085338,"GUEST CHECK, SHRINK PACK SINGLE PAPER 3.5X6.75 PINK",54,60,,100,100,50,50
2948859,"GRILL BRICK, 4X3.5X8 GLASS DUST SOFT WRAPPED GRIDDLE",4,2,36,11,9,7,6
2950343,"SCRUBBER, S/S 50 GR HEAVY-DUTY 400 SERIES ECONOMY",40,5,3,26,36,36,6
9075643,"SANITIZER, SURFACE FOOD CONTACT LIQUID SPRAY BOTTLE CLEAR SLIGHT SCENT K85",7,6,1,6,7,0,0
7912678,"CLEANER, GLASS K42 LIQUID SPRAY BOTTLE BLUE FLORAL SCENT",1,1,,6,6,6,5
5341169,"CLEANER, OVEN and GRILL K13 LIQUID BOTTLE DARK ORANGE ODORLESS DEGREASER",2,2,7,4,3,3,2
7153448,"CLEANER, ALL-PURPOSE LIQUID SPRAY BOTTLE CLEAR W/ BLEACH",4,1,4,6,6,5,4
7945058,"DEGREASER, ALL-PURPOSE VP3 LIQUID JUG BLUE CLEANER",2,1,,,3,2,0
7886112,"GLOVE, POLY XL CLEAR STRETCH AMBIDEXTROUS",4,2,,10,4,1,7
8362022,"DETERGENT, DISHWASHER D21 LIQUID PAIL RED ODORLESS LOW TEMP",1,1,1,2,1,1,1
8366320,"RINSE ADDITIVE, DISHWASHER D22 LIQUID PAIL GREEN HIGH SOLID",1,1,1,1,1,0.5,0.25
6365084,"SANITIZER, DISHWASHER D23 LIQUID PAIL CLEAR YELLOW LOW TEMP",1,0.75,1,1,1,0.5,0.5
9625922,"TOWEL, PAPER 7.88X15 CENTERPULL PERFORATED WHITE 1 PLY 320 SHEET",6,5,6,6,10,1,8
95745,"TISSUE, TOILET JUMBO ROLL 3.3X1000' N-PERF 2 PLY WHITE",9,9,4,11,9,5,10
8648164,"TOWEL, PAPER 9.5X9 MULTIFOLD BROWN 1 PLY",0,0,-,-,0,0,0
5751965,"DEODORIZER, URINAL SCREEN WAVE 3D SOLID BOX BLUE COTTON BLOSSOM SCENT",0,0,,-,0,0,0
2950699,"MOP HEAD, CUT END #24 COTTON 4 PLY NARROW BAND NATURAL",2,1,,3,4,3,3
7826506,"LINER, 33 GAL 33X38 BLACK 1.2 MIL CORELESS ROLL LINEAR LOW DENSITY REPROCES",5,3,4,0,3,3,3
7826290,"LINER, 60 GAL 38X58 BLACK 1.2 MIL CORELESS ROLL LINEAR LOW DENSITY REPROCES",4,3,3,2,0,3,3
4647806,"DETERGENT, DISH MANUAL LIQUID BOTTLE BLUE",8,6,4,2,9,4,6
2959917,"CLEANER, FLOOR ALL SURFACE F22 LIQUID PACKET BROWNISH RED PLEASANT SCENT",0,4,1.5,1.25,2,0,4
1010412,"PEPPER, BELL GRN DCD 1/4""",,,,,,,
2332104,"CELERY, DCD 1/4"" FRESH REF",,,,,,,
6326706,"POTATO, RUSET ID. 70 CT 10-13",,,,,,,
8602054,"CUP, PET PLST 9 Z SQT CLD CLR",,,,,,,
7589787,"BACON, PORK RNDM CT SLCD BULK",,,,,,,
6395610,"SUGAR, WHT EX FINE CANE",,,,,,,
9505647,"AVOCADO, HASS BRKER STG 2-3 #1",,,,,,,
760785,"SPICE, PPR BLK GRND PLST JUG",,,,,,,
2745578,"PLATE, FM 10.25"" 3 CMPT WHT",,,,,,,
6896393,"KIT, CTLY K-F-S NAP MW SLVR",,,,,,,
7912660,"CLEANER, OVN & GRIL K44 AERSL",,,,,,,
2305118,"ASPARAGUS, GRN BNCH LG 6-11 LB",,,,,,,
3551421,"LEMON, FRESH REF",,,,,,,
1901586,"MEAT SUB, MTBL MEATL VEGAN CKD",,,,,,,
7355280,"AVOCADO, HASS BRKER STG 2-3 #2",,,,,,,
6899289,"CRAYON, 4 PK ASST",,,,,,,
7607237,"CUP, PLST 12Z KID SEA W/LID&ST",,,,,,,
0,,,,,,,,
466821,"BACON, PORK SLCD SLAB RAW FZN",,,,,,,
6714032,"BEEF, RBY 112A 2X2"" LON RW F2F",,,,,,,
8429292,"JUICE, APPL 100% VITMN C ADDED",,,,,,,
9284670,"PORK, LOIN CC BELLY STRAP EXP",,,,,,,
6328116,"CORN, YLW KRNL FCY FZN BAG",,,,,,,
6364616,"LINER, 12-16 GAL 24X32 CLR .35",,,,,,,
9917069,"OIL, OLIV POMCE IMP ITALY",,,,,,,
7662349,"PLATE, PLYST 10.25"" WHT DECTD",,,,,,,
5489441,"MIX, GRVY PORK BAG SHLF STABL",,,,,,,
7416663,"PORK, LOIN CC BNLS .25"" TRIMD",,,,,,,
877506,"BUTTER, SALTD SOLID AA GRD REF",,,,,,,
8231189,"LEMON, CHO IMP & DMSTC 165 CT",,,,,,,
1295506,"BEEF, RIBEY U2/3 ANGS 112A 2X2",,,,,,,
4814729,"ONION, GRN ICELS FRESH REF",,,,,,,
9866708,"STRAW, JMB 5.75"" BLK UWRPD STD",,,,,,,
8326696,"ONION, YLW JMB 3""+ FRESH REF",,,,,,,
993063,"PASTA, MAC ELBW SHLF STABL",,,,,,,
1809805,"SAUSAGE, SMKD PORK BF 3.2 Z 5""",,,,,,,
4393494,"BEEF, CHEEK MEAT RAW REF BAG",,,,,,,
5492673,"SALT, SHKR PLST",,,,,,,
6492672,"SPICE, PPR BLK GRND SHKR",,,,,,,
4116355,"GARLIC, MNCD IN WATER PLST JAR",,,,,,,
7826688,"LINER, 60 GAL 38X56 BLK .8 MIL",,,,,,,
4725396,"CELERY, STALK FRESH REF BOX",,,,,,,
3327053,"SHORTENING, FRYG CNOLA LIQ CLR",,,,,,,
7445317,"MARGARINE, WHPD PHO-FREE PAIL",,,,,,,
7398886,"FILTER, FRYER GRS SHT",,,,,,,
3164159,"TOWEL, PAPR 11X8.8 PERF RL WHT",,,,,,,
2384873,"TOMATO, PLUM #2 GRD BULK FRESH",,,,,,,
6353429,"SPICE, CELRY SALT SHLF STABL",,,,,,,
7941537,"CUP, PLST 12 Z KID WHT",,,,,,,
1327055,"OIL, SOYBN TFF SALAD",,,,,,,
1063807,"BEEF, SHORT LOIN HERFRD 17",,,,,,,
7780489,"CHICKEN, BRST BRDD MED ITLN",,,,,,,
1275003,"POTATO, YLW PTITE CKD SOUS REF",,,,,,,
1460591,"BREADSTICK, FRNCH UNSL BKD FZN",,,,,,,
9332230,"LETTUCE, RMN CHPD 1.5"" #1 GRD",,,,,,,
1262063,"CAKE, LMN WILD BLBRY NOT ICED",,,,,,,
7630866,"COD, BRDD FRSHCRMB 2-3ZFIL MSC",,,,,,,
8648198,"TISSUE, TLT JMB RL 3.5"" WHITE",,,,,,,
1005446,"MUSHROOM, SLCD THIN FRESH REF",,,,,,,
1117268,"CHICKEN, GZZD RAW F2F CVP",,,,,,,
5314802,"ROLL, WHT UNSL PARBK FZN BRD",,,,,,,
9372855,"TOMATO, RND 5X6 #1 GRD FRESH 2",,,,,,,
5010608,"CILANTRO, FRESH HERB",,,,,,,
8609068,"LIME, 175-200 CT FRESH REF #2",,,,,,,
791558,"CONTAINER, FM 4 Z SQT WHT",,,,,,,
6969521,"GLOVE, VINYL X-LARGE PF NTRL",,,,,,,
5513762,"TORTILLA, CHIP WHT CORN 6"" RAW",,,,,,,
5888482,"HAM, BNLS D-SHAPD NJ HW SMK 2D",,,,,,,
9348134,"CHICKEN, WING 1&2JT JMB RW F2F",,,,,,,
