0,1,2,3,4,5
6617609,"CONTAINER, FOAM 6X6 1 CMPT WHITE 3H HINGED LID",1,,,
6861538,"CONTAINER, PLASTIC 9 HEXAGON 1 CMPT BLACK HINGED LID CARRY-OUT",0.5,,,
6861488,"CONTAINER, PLASTIC 7 HEXAGON 1 CMPT BLACK 3 H HINGED LID CARRY-OUT",0.25,,,
738898,"BAG, CARRY-OUT 8 LB PAPER WHITE GROCERY",1,,,
1310994,"BAG, FRENCH-FRY 5.5X4.5 PAPER WHITE GREASE RESISTANT",1,,,
8917627,"KIT, CUTLERY SALT-and-PEPPER K-F-S NAP HEAVYWEIGHT BLACK POLYSTYRENE PLASTIC",1,,,
7008703,"BAG, T-SHIRT 11.5X6.5X21 POLYETHYLENE WHITE THANK YOU STOCK PRINT 12 MIC CA",1,,,
3136199,"SUGAR SUB, PINK SWEET and LOW 1 GR SS PACKET SACCHARIN",1,,,
4329314,"MUSTARD, YELLOW SS POUCH",1,,,
8568531,"MAYONNAISE, SS POUCH SHELF STABLE",1,,,
9329384,"KETCHUP, TOMATO FANCY 33% SS FOIL PACKET SHELF STABLE",1.5,,,
2835205,"BAG, FLATWARE 2.75X10 PAPER WHITE SILVERWARE",1.5,,,
4261905,"PEPPER, JALAPENO SLICED NACHO MILD IN VINEGAR CAN SHELF STABLE",3,,,
4352191,"SAUCE, MARINARA TOMATO CAN SHELF STABLE DELUXE",7,,,
6329205,"BEAN, GREEN BLUE LAKE CUT 3-5 SIEVE EXTRA STANDARD CANNED",12,,,
9329269,"TOMATO, WHOLE IN JUICE PEELED CANNED",2,,,
9261892,"TOMATILLO, CRUSHED GREEN CANNED IMPORTED MEXICO",0,,,
7200736,"PICKLE, DILL CRINKLE-CUT CHIP 1/8 PLASTIC SHELF STABLE",2,,,
2353829,"FLOUR, ALL-PURPOSE",2.5,,,
6329924,"SALT, TABLE IODIZED BAG",1,,,
760827,"SPICE, PEPPER BLACK GROUND PLASTIC JUG 30M",0.25,,,
8383283,"SUGAR, WHITE CANE EXTRA FINE BAG",2.5,,,
8047557,"MIX, GRAVY PEPPER ADD WATER",11,,,
3749580,"MIX, GRAVY BROWN POUCH SHELF STABLE CLASSIC",9,,,
6326698,"ONION, YELLOW WHOLE SUPER COLOSSAL 4 1/4+ FRESH REF BAG",0,,,
4326690,"ONION, RED JUMBO FRESH REF BAG",0.5,,,
4289443,"POTATO, YUKON GOLD A SIZE FRESH REF",1,,,
2326700,"POTATO, RUSSET IDAHO 40 COUNT FRESH REF",2,,,
9579777,"BASE, SOUP CHICKEN FLAVOR GRANULAR PAIL SHELF STABLE",0.75,,,
2228849,"BREADER, FISH SEASONED BAG",1,,,
7501752,"KETCHUP, TOMATO FANCY 33% RED PLASTIC BOTTLE SHELF STABLE",24,,,
190009,"KETCHUP, TOMATO FANCY 33% BAG-IN-BOX SHELF STABLE",1.5,,,
7637705,"SHORTENING, FRYING RICE BRAN LIQUID CLEAR NON GMO OIL",1.5,,,
7329113,"MAYONNAISE, EXTRA-HEAVY PLASTIC JUG SHELF STABLE",3,,,
4364063,"MUSTARD, YELLOW PLASTIC JAR SHELF STABLE",3,,,
3636982,"SAUCE, WORCESTERSHIRE PLASTIC JUG SHELF STABLE",1,,,
8013625,"SAUCE, HOT RED PLASTIC JUG SHELF STABLE ORIGINAL",5,,,
698688,"OIL, BUTTER ALTERNATIVE SOYBEAN SALTED LIQUID PLASTIC BOTTLE",1,,,
8003956,"SAUCE, TERIYAKI GLAZE PLASTIC JUG SHELF STABLE",0.5,,,
78964,"SAUCE, BBQ PLASTIC JUG SHELF STABLE ORIGINAL",4,,,
9837196,"SAUCE, CHILI SWEET PLASTIC JUG SHELF STABLE WING",1,,,
1328335,"VINEGAR, DISTILLED WHITE DOMESTIC 50 GRAIN PLASTIC JUG",5,,,
9002080,"SAUCE, STEAK A-1 GLASS BOTTLE SHELF STABLE",11,,,
3018538,"SAUCE, HOT GLASS BOTTLE SHELF STABLE ORIGINAL",14,,,
8218208,"SAUCE, HOT LOUISIANA GLASS BOTTLE SHELF STABLE",7,,,
5610571,"CROUTON, SEASONED CUBE SS .5X.5X.5",1,,,
1177922,"CRACKER, SALTINE SALTED SHELF STABLE",1,,,
7945926,"CRACKER, SALAD WAFER IW",1,,,
5601679,"CHIP, POTATO SS BAG SHELF STABLE REGULAR",1,,,
9855909,"STRAW, JUMBO 7.75 TRANSLUCENT WRAPPED PAPER STANDARD POLYPROPYLENE BOX",4,,,
4060067,"TOOTHPICK, WOOD MINT WRAPPED",3,,,
3605755,"TRAY, PAPER FOOD .5 LB COATED KRAFT BROWN ECOCRAFT",5,,,
7333263,"SEASONING, FAJITA SHELF STABLE SPICE",1,,,
6501159,"SEASONING, LEMON PEPPER PLASTIC SHAKER SHELF STABLE SPICE",2,,,
184937,"TEA BAG, ICED BLACK ORANGE PEKOE CAFFEINATED 4 GAL YIELD FILTER-POUCH SHELF",15,,,
9206974,"TEA BAG, ICED BLACK SWEETENED CAFFEINATED 3 GAL YIELD FILTER PACK",10,,,
1201093,"CUP, PET PLASTIC 20 OZ SPECIAL PRINT",2,,,
1637321,"LID, CUP 12-24 OZ FLAT PET PLASTIC TRANSLUCENT",1,,,
1851438,"CUP, SOUFFLE POLYSTYRENE 3.25 OZ TRANSLUCENT PORTION PLASTIC",0.1,,,
2939411,"LID, CUP SOUFFLE 3.25-4 OZ FLAT PET PLASTIC CLEAR PLASTIC COVER",3,,,
7005226,"CONTAINER, FOAM 4 OZ SQUAT WHITE",1,,,
7002041,"LID, CUP 4-6 OZ VENTED PLASTIC WHITE",2,,,
6883961,"CONTAINER, FOAM 6 OZ SQUAT WHITE",2,,,
1051822,"LID, BOWL VENTED 6-8 OZ ROUND PLASTIC TRANSLUCENT",1,,,
8609174,"TOWEL, PAPER 9X11 PERFORATED ROLL WHITE 2 PLY 85 SHEET",5,,,
8869828,"NAPKIN, DISPENSER INTERFOLD BROWN 7.88X6.5 PAPER 1 PLY RECYCLED",48,,,
4818803,"WRAP, 12X12 WAX PAPER NATURAL FLAT PACK GREASE RESISTANT",5,,,
511550,"LINER, BASKET 12X12 PAPER RED CHECKERED GINGHAM",4,,,
1328699,"SHORTENING, FRYING SOYBEAN LIQUID CLEAR PLASTIC JUG SHELF STABLE OIL",3,,,
4594181,"PAPER, 18X1100' FREEZER PAPER WHITE WRAP",1,,,
4834081,"FILM, 18X2000' PLASTIC ROLL SLIDE CUTTER BOX FOOD WRAP",1,,,
5328257,"FOIL, ALUMINUM 18X500' HEAVY-DUTY ROLL CUTTER BOX WRAP",1,,,
6328249,"FOIL, ALUMINUM 12X1000' STANDARD ROLL CUTTER BOX WRAP",1,,,
3328259,"WRAP, FOIL 9X10.75 INTERFOLD POP UP SHEET ALUMINUM",2,,,
6328777,"MIX, DRESSING ITALIAN 1 GAL YIELD PACKET",12,,,
7248339,"MIX, DRESSING RANCH 1 GAL YIELD PACKET",0,,,
9041252,"CRACKER MEAL, CRUSHED MEDIUM BAG KRISPY SALTINE CRUMB",0,,,
3013885,"FILTER, FRYER GREASE CONE 10 PAPER NON-WOVEN ECONOLINE",1,,,
1504521,"LABEL, 2X3 REMOVABLE 500 ROLL IN/OUT",1,,,
2550762,"HAIRNET, NYLON 24 BROWN LIGHTWEIGHT",1,,,
9551578,"PICK, WOOD 4 ASSORTED COLOR FRILL",1,,,
2330652,"FORK, DINNER WINDSOR 18/0 S/S MEDIUMWEIGHT",1,,,
1330695,"KNIFE, STEAK 4.75 S/S PLASTIC HANDLE BLACK",3,,,
445098,"TAPE, THERMAL CASH REGISTER WHITE 3.13X200' PAPER 1 PLY ROLL",40,,,
4085338,"GUEST CHECK, SHRINK PACK SINGLE PAPER 3.5X6.75 PINK",72,,,
2948859,"GRILL BRICK, 4X3.5X8 GLASS DUST SOFT WRAPPED GRIDDLE",11,,,
2950343,"SCRUBBER, S/S 50 GR HEAVY-DUTY 400 SERIES ECONOMY",44,,,
9075643,"SANITIZER, SURFACE FOOD CONTACT LIQUID SPRAY BOTTLE CLEAR SLIGHT SCENT K85",2,,,
7912678,"CLEANER, GLASS K42 LIQUID SPRAY BOTTLE BLUE FLORAL SCENT",0,,,
5341169,"CLEANER, OVEN and GRILL K13 LIQUID BOTTLE DARK ORANGE ODORLESS DEGREASER",7,,,
7153448,"CLEANER, ALL-PURPOSE LIQUID SPRAY BOTTLE CLEAR W/ BLEACH",7,,,
7945058,"DEGREASER, ALL-PURPOSE VP3 LIQUID JUG BLUE CLEANER",5,,,
7886112,"GLOVE, POLY XL CLEAR STRETCH AMBIDEXTROUS",8,,,
8362022,"DETERGENT, DISHWASHER D21 LIQUID PAIL RED ODORLESS LOW TEMP",1,,,
8366320,"RINSE ADDITIVE, DISHWASHER D22 LIQUID PAIL GREEN HIGH SOLID",0.25,,,
6365084,"SANITIZER, DISHWASHER D23 LIQUID PAIL CLEAR YELLOW LOW TEMP",0.25,,,
9625922,"TOWEL, PAPER 7.88X15 CENTERPULL PERFORATED WHITE 1 PLY 320 SHEET",12,,,
95745,"TISSUE, TOILET JUMBO ROLL 3.3X1000' N-PERF 2 PLY WHITE",12,,,
8648164,"TOWEL, PAPER 9.5X9 MULTIFOLD BROWN 1 PLY",0,,,
5751965,"DEODORIZER, URINAL SCREEN WAVE 3D SOLID BOX BLUE COTTON BLOSSOM SCENT",0,,,
2950699,"MOP HEAD, CUT END #24 COTTON 4 PLY NARROW BAND NATURAL",3,,,
7826506,"LINER, 33 GAL 33X38 BLACK 1.2 MIL CORELESS ROLL LINEAR LOW DENSITY REPROCES",2,,,
7826290,"LINER, 60 GAL 38X58 BLACK 1.2 MIL CORELESS ROLL LINEAR LOW DENSITY REPROCES",6,,,
4647806,"DETERGENT, DISH MANUAL LIQUID BOTTLE BLUE",12,,,
2959917,"CLEANER, FLOOR ALL SURFACE F22 LIQUID PACKET BROWNISH RED PLEASANT SCENT",1.5,,,
1010412,"PEPPER, BELL GRN DCD 1/4""",,,,
2332104,"CELERY, DCD 1/4"" FRESH REF",,,,
6326706,"POTATO, RUSET ID. 70 CT 10-13",,,,
8602054,"CUP, PET PLST 9 Z SQT CLD CLR",,,,
8648198,"TISSUE, TLT JMB RL 3.5"" WHITE",,,,
1005446,"MUSHROOM, SLCD THIN FRESH REF",,,,
7589787,"BACON, PORK RNDM CT SLCD BULK",,,,
1117268,"CHICKEN, GZZD RAW F2F CVP",,,,
5314802,"ROLL, WHT UNSL PARBK FZN BRD",,,,
9372855,"TOMATO, RND 5X6 #1 GRD FRESH 2",,,,
5010608,"CILANTRO, FRESH HERB",,,,
8609068,"LIME, 175-200 CT FRESH REF #2",,,,
791558,"CONTAINER, FM 4 Z SQT WHT",,,,
6969521,"GLOVE, VINYL X-LARGE PF NTRL",,,,
5513762,"TORTILLA, CHIP WHT CORN 6"" RAW",,,,
6395610,"SUGAR, WHT EX FINE CANE",,,,
5888482,"HAM, BNLS D-SHAPD NJ HW SMK 2D",,,,
9348134,"CHICKEN, WING 1&2JT JMB RW F2F",,,,
6366090,"PEPPER, JLP 1 1/9 BSHL FRESH",,,,
9505647,"AVOCADO, HASS BRKER STG 2-3 #1",,,,
760785,"SPICE, PPR BLK GRND PLST JUG",,,,
2745578,"PLATE, FM 10.25"" 3 CMPT WHT",,,,
6896393,"KIT, CTLY K-F-S NAP MW SLVR",,,,
7912660,"CLEANER, OVN & GRIL K44 AERSL",,,,
4736314,"DEODORIZER, URNL SCRN W/ BLOC",,,,
2305118,"ASPARAGUS, GRN BNCH LG 6-11 LB",,,,
3551421,"LEMON, FRESH REF",,,,
1901586,"MEAT SUB, MTBL MEATL VEGAN CKD",,,,
7355280,"AVOCADO, HASS BRKER STG 2-3 #2",,,,
6899289,"CRAYON, 4 PK ASST",,,,
7607237,"CUP, PLST 12Z KID SEA W/LID&ST",,,,
0,,,,,
466821,"BACON, PORK SLCD SLAB RAW FZN",,,,
6714032,"BEEF, RBY 112A 2X2"" LON RW F2F",,,,
8429292,"JUICE, APPL 100% VITMN C ADDED",,,,
9284670,"PORK, LOIN CC BELLY STRAP EXP",,,,
6328116,"CORN, YLW KRNL FCY FZN BAG",,,,
6364616,"LINER, 12-16 GAL 24X32 CLR .35",,,,
9917069,"OIL, OLIV POMCE IMP ITALY",,,,
7662349,"PLATE, PLYST 10.25"" WHT DECTD",,,,
1536807,"POTATO, RUSET ID. 40 CT FRESH",,,,
5489441,"MIX, GRVY PORK BAG SHLF STABL",,,,
7416663,"PORK, LOIN CC BNLS .25"" TRIMD",,,,
877506,"BUTTER, SALTD SOLID AA GRD REF",,,,
2721173,"CHICKEN, WING 1&2JT RNDM JUMBO",,,,
8231189,"LEMON, CHO IMP & DMSTC 165 CT",,,,
2015881,"TOMATO, #2 GRD RND BULK FRESH",,,,
1295506,"BEEF, RIBEY U2/3 ANGS 112A 2X2",,,,
4814729,"ONION, GRN ICELS FRESH REF",,,,
9866708,"STRAW, JMB 5.75"" BLK UWRPD STD",,,,
6060865,"SHRIMP, 16-20 WHT P&D T/OF NPA",,,,
8326696,"ONION, YLW JMB 3""+ FRESH REF",,,,
7582752,"CHEESE, AMER LOAF PROCD PLST",,,,
993063,"PASTA, MAC ELBW SHLF STABL",,,,
1809805,"SAUSAGE, SMKD PORK BF 3.2 Z 5""",,,,
2721165,"CHICKEN, BRST DBL RNDM BNLS",,,,
4393494,"BEEF, CHEEK MEAT RAW REF BAG",,,,
5492673,"SALT, SHKR PLST",,,,
6492672,"SPICE, PPR BLK GRND SHKR",,,,
1330158,"BEAN, BLU LAKE GRN CUT 4 SIEV",,,,
4116355,"GARLIC, MNCD IN WATER PLST JAR",,,,
7826688,"LINER, 60 GAL 38X56 BLK .8 MIL",,,,
6617419,"CONTAINER, FM 9.12X9 1 CMPT",,,,
4725396,"CELERY, STALK FRESH REF BOX",,,,
6361794,"TOWEL, PAPR 10""X800' N-PERF RL",,,,
3327053,"SHORTENING, FRYG CNOLA LIQ CLR",,,,
1016831,"SUGAR, WHT GRAN CANE",,,,
4836169,"FILM, PLST 18""X2000' RL CTTR",,,,
2332245,"LETTUCE, RMN HEART FRESH REF",,,,
7445317,"MARGARINE, WHPD PHO-FREE PAIL",,,,
7398886,"FILTER, FRYER GRS SHT",,,,
3164159,"TOWEL, PAPR 11X8.8 PERF RL WHT",,,,
1184029,"SHRIMP, RAW 16-20 WHT T/ON P&D",,,,
2384873,"TOMATO, PLUM #2 GRD BULK FRESH",,,,
6004030,"BAR MIX, CCNUT CRM SHLF STABL",,,,
1163553,"JUICE, ORNG BLND 100% PLST BTL",,,,
4523510,"CHERRY, MRCNO W/ STEM LG PLST",,,,
6328157,"MAYONNAISE, XHVY PLST JUG SHLF",,,,
6353429,"SPICE, CELRY SALT SHLF STABL",,,,
7941537,"CUP, PLST 12 Z KID WHT",,,,
1044607,"SHRIMP, 16-20 WHT P&D T/ON RAW",,,,
7050313,"LETTUCE, RMN HEART FRESH REF",,,,
