Inventory Date,Product #,Product Name,Quantity
2026-03-01,3340510,"CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",
2026-03-01,5332630,"CHEESE, CHEDDAR MILD SHRED FEATHER YELLOW REF",
2026-03-01,6419501,"CHEESE, CHEDDAR YELLOW MILD SLICED .75 OZ TWIN PACK REF",
2026-03-01,6432884,"CHEESE, PEPPER JACK SLICED .75 OZ TWIN PACK REF",
2026-03-01,2466128,"CHEESE, SWISS SLICED 120 COUNT PROCESSED REF",
2026-03-01,7328537,"DRESSING, BLUE CHEESE CHUNKY REF PLASTIC JAR POURABLE",
2026-03-01,3328713,"DRESSING, 1000 ISLAND SHELF STABLE PLASTIC JAR TRADITIONAL",
2026-03-01,8329062,"DRESSING, FRENCH ORANGE TFF PLASTIC JAR SHELF STABLE",
2026-03-01,3213469,"DRESSING, HONEY MUSTARD SWEET REF PLASTIC JAR",
2026-03-01,1328608,"DRESSING, COLESLAW CREAMY SHELF STABLE PLASTIC JAR",
2026-03-01,5328406,"DRESSING, RANCH BUTTERMILK REF PLASTIC JAR HOMESTYLE",
2026-03-01,8025207,"CHICKEN, GIZZARD BONELESS RAW FROZEN",
2026-03-01,8366296,"SURIMI, IMITATION CRABMEAT CHUNK and FLAKE COOKED FROZEN VALUE MSC DOMESTIC",
2026-03-01,3138880,"SAUSAGE, CHORIZO PORK GROUND RAW FROZEN",
2026-03-01,1017127,"HAM, BONELESS BUFFET NATURAL-JUICE HARDWOOD SMOKED COOKED REF BAG 3-DIAMOND",
2026-03-01,616400,"ROLL, HOAGIE WHITE 3.5 OZ 8 SLICED COOKED BAKED FROZEN BAG HEARTH SUBMARIN",
2026-03-01,207498,"BREAD, WHEAT BERRY 17 SLICED 11/16 LOAF FROZEN",
2026-03-01,2633394,"BREAD, RYE MARBLE 17 SLICED 5/8 LOAF BAKED FROZEN",
2026-03-01,4320487,"CHILI, BEEF NO BEAN RTU TUB FROZEN",
2026-03-01,5602354,"APPETIZER, CHEESE MOZZARELLA BREADED ITALIAN STICK 3.25 TFF RAW FROZEN BAG",
2026-03-01,4182234,"APPETIZER, POTATO PEPPER CHEDDAR BREADED FROZEN SOUTHWESTERN MUNCHER",
2026-03-01,3041423,"CORN DOG, ALL-MEAT FROZEN",
2026-03-01,4328910,"HOT DOG, ALL-BEEF 5:1 6 ROLLER GRILL COOKED FROZEN",
2026-03-01,2725042,"CHICKEN, WING 1ST-and-2ND-JOINT MEDIUM RAW CVP REF UNFLAVORED",
2026-03-01,2720977,"CHICKEN, BREAST DOUBLE-LOBE RANDOM BONELESS SKINLESS RAW REF CVP JUMBO",
2026-03-01,2725661,"Chicken, Breast Double-lobe 6 Oz Boneless Skinless Ref Cvp",
2026-03-01,5314208,"BEEF, CUTLET SELECT RAW FROZEN",
2026-03-01,3408822,"BEEF, RIBEYE 112A 2X2 LIP-ON RAW REF VACUUM-PACK",
2026-03-01,4558003,"BEEF, PHILLY FLAT RAW 4 OZ FROZEN BAG SLICED SOLUTION ADDED MODERATELY",
2026-03-01,2571705,"BEEF, CHUCK SHOULDER CLOD CHOICE ANGUS 114 BONELESS RAW REF",
2026-03-01,6740178,"SHRIMP, 41-50 WHITE PEELED-and-DEVEINED TAIL-OFF RAW IQF FROZEN BAG NO-PHOS-A",
2026-03-01,6911663,"PANGASIUS, STRIPED 5-7 OZ FILLET PBO SKINLESS RAW IQF FROZEN FARMED SWAI",
2026-03-01,4661918,"SHRIMP, 16-20 WHITE PEELED-and-DEVEINED TAIL-ON RAW IMPORTED IQF FROZEN BAG F",
2026-03-01,1552124,"POTATO, FRENCH-FRY SHOESTRING 1/4 COATED CLEAR EXTRA-LONG-FANCY FROZEN",
2026-03-01,6083968,"POTATO, TATER NUGGET TFF PARFRIED FROZEN PUFF",
2026-03-01,7979586,"POTATO, SWEET FRENCH-FRY WAFFLE CUT THIN COATED FROZEN",
2026-03-01,6450068,"HUSH PUPPY, JALAPENO PARFRIED FROZEN BAG APPETIZER",
2026-03-01,1633130,"BACON,SLAB #2 CURED",
2026-03-01,2240046,"BACON, PORK END and PIECE REAL DICED .25 SMOKED CURED COOKED REF GAS FLUSHED",
2026-03-01,1321470,"BROWNIE, PECAN NOT ICED SHEET 1/2 24 SLICED TRAY FROZEN",
2026-03-01,6758940,"ICE CREAM, VANILLA BEAN 15% BUTTERFAT FROZEN PAPER TUB ALL NATURAL",
2026-03-01,766949,"ICE CREAM, CHOCOLATE TUB",
2026-03-01,843771,"TOPPING, WHIPPED NON-DAIRY ULTRA PASTEURIZED AEROSOL REF",
2026-03-01,9487478,"CHEESECAKE, RASPBERRY DONUT 10 14 SLICED TRAY FROZEN CAKE",
2026-03-01,755207,"CAKE, LAYER 2 CARROT ICED 9 14 SLICED GRANDMAS BOX FROZEN",
2026-03-01,31765,"CAKE, CHOCOLATE GLAZED 5 OZ SS TRAY PACK FROZEN MOLTEN",
2026-03-01,5182720,"BAR MIX, GRENADINE PLASTIC SHELF STABLE COCKTAIL",
2026-03-01,5308139,"JUICE, CLAMATO DRINK 34% ORIGINAL PET PLASTIC BOTTLE SHELF STABLE",
2026-03-01,4550881,"DRINK, SODA TONIC WATER CANADA DRY PET PLASTIC BOTTLE",
2026-03-01,4781939,"DRINK, SODA CLUB CANADA DRY PET PLASTIC BOTTLE",
2026-03-01,8915027,"STRAW, GIANT 7.75 BLACK UNWRAPPED STANDARD PLASTIC",
2026-03-01,3002128,"SALT, KOSHER NOT IODIZED GRANULATED COARSE BOX SHELF STABLE",
2026-03-01,3056553,"SUGAR, RAW CANE CRYSTAL BAG TURBINADO",
2026-03-01,2006625,"JUICE, PINEAPPLE 100% CAN SHELF STABLE",
2026-03-01,7221484,"JUICE, GRAPEFRUIT RUBY RED 100% PLASTIC BOTTLE SHELF STABLE",
2026-03-01,2327856,"JUICE, ORANGE 100% VITAMIN C ADDED ASEPTIC CARTON SHELF STABLE",
2026-03-01,6310726,"JUICE, CRANBERRY DRINK 27% BAR PAC MIXER PLASTIC BOTTLE SHELF STABLE",
2026-03-01,6033922,"BAR MIX, SWEET and SOUR LEMON SHELF STABLE COCKTAIL",
2026-03-01,9057316,"BAR MIX, LIME FOIL BAG SHELF STABLE COCKTAIL",
2026-03-01,18267,"BAR MIX, MARGARITA CONCENTRATE 7:1 PLASTIC BOTTLE SHELF STABLE COCKTAIL",
2026-03-01,3161452,"BAR MIX, MANGO PUREE CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",
2026-03-01,6948384,"BAR MIX, PEACH CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",
2026-03-01,6948426,"BAR MIX, PINA COLADA CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",
2026-03-01,7071236,"BAR MIX, STRAWBERRY CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",
2026-03-01,7800469,"NAPKIN, BEVERAGE WHITE 9.5X9.5 1 PLY PAPER 1/4 FOLD",
2026-03-01,3333705,"OLIVE, MANZANILLA GREEN STUFFED PIMIENTO 300-320 COUNT SHELF STABLE GLASS J",
2026-03-01,1205582,"STRAWBERRY, CLAMSHELL FRESH REF",
2026-03-01,2186153,"PINEAPPLE, GOLDEN FRESH REF",
2026-03-01,9357214,"ORANGE, NAVEL OR VALENCIA CHOICE 88 COUNT FRESH REF BOX",
2026-03-01,5881594,"CHERRY, MARASCHINO W/ STEM LARGE PLASTIC",
2026-03-01,8387194,"WATER, MINERAL GLASS BOTTLE",
2026-03-01,7804644,"CONTAINER, FOAM 9X9 1 CMPT WHITE 3.25H HINGED LID DUAL TAB OPTIONAL VENTIN",
2026-03-01,6617609,"CONTAINER, FOAM 6X6 1 CMPT WHITE 3H HINGED LID",
2026-03-01,6861538,"CONTAINER, PLASTIC 9 HEXAGON 1 CMPT BLACK HINGED LID CARRY-OUT",
2026-03-01,6861488,"CONTAINER, PLASTIC 7 HEXAGON 1 CMPT BLACK 3 H HINGED LID CARRY-OUT",
2026-03-01,738898,"BAG, CARRY-OUT 8 LB PAPER WHITE GROCERY",
2026-03-01,1310994,"BAG, FRENCH-FRY 5.5X4.5 PAPER WHITE GREASE RESISTANT",
2026-03-01,8917627,"KIT, CUTLERY SALT-and-PEPPER K-F-S NAP HEAVYWEIGHT BLACK POLYSTYRENE PLASTIC",
2026-03-01,7008703,"BAG, T-SHIRT 11.5X6.5X21 POLYETHYLENE WHITE THANK YOU STOCK PRINT 12 MIC CA",
2026-03-01,3136199,"SUGAR SUB, PINK SWEET and LOW 1 GR SS PACKET SACCHARIN",
2026-03-01,4329314,"MUSTARD, YELLOW SS POUCH",
2026-03-01,8568531,"MAYONNAISE, SS POUCH SHELF STABLE",
2026-03-01,9329384,"KETCHUP, TOMATO FANCY 33% SS FOIL PACKET SHELF STABLE",
2026-03-01,2835205,"BAG, FLATWARE 2.75X10 PAPER WHITE SILVERWARE",
2026-03-01,4261905,"PEPPER, JALAPENO SLICED NACHO MILD IN VINEGAR CAN SHELF STABLE",
2026-03-01,4352191,"SAUCE, MARINARA TOMATO CAN SHELF STABLE DELUXE",
2026-03-01,6329205,"BEAN, GREEN BLUE LAKE CUT 3-5 SIEVE EXTRA STANDARD CANNED",
2026-03-01,9329269,"TOMATO, WHOLE IN JUICE PEELED CANNED",
2026-03-01,9261892,"TOMATILLO, CRUSHED GREEN CANNED IMPORTED MEXICO",
2026-03-01,7200736,"PICKLE, DILL CRINKLE-CUT CHIP 1/8 PLASTIC SHELF STABLE",
2026-03-01,2353829,"FLOUR, ALL-PURPOSE",
2026-03-01,6329924,"SALT, TABLE IODIZED BAG",
2026-03-01,760827,"SPICE, PEPPER BLACK GROUND PLASTIC JUG 30M",
2026-03-01,8383283,"SUGAR, WHITE CANE EXTRA FINE BAG",
2026-03-01,8047557,"MIX, GRAVY PEPPER ADD WATER",
2026-03-01,3749580,"MIX, GRAVY BROWN POUCH SHELF STABLE CLASSIC",
2026-03-01,6326698,"ONION, YELLOW WHOLE SUPER COLOSSAL 4 1/4+ FRESH REF BAG",
2026-03-01,4326690,"ONION, RED JUMBO FRESH REF BAG",
2026-03-01,4289443,"POTATO, YUKON GOLD A SIZE FRESH REF",
2026-03-01,2326700,"POTATO, RUSSET IDAHO 40 COUNT FRESH REF",
2026-03-01,9579777,"BASE, SOUP CHICKEN FLAVOR GRANULAR PAIL SHELF STABLE",
2026-03-01,2228849,"BREADER, FISH SEASONED BAG",
2026-03-01,7501752,"KETCHUP, TOMATO FANCY 33% RED PLASTIC BOTTLE SHELF STABLE",
2026-03-01,190009,"KETCHUP, TOMATO FANCY 33% BAG-IN-BOX SHELF STABLE",
2026-03-01,7637705,"SHORTENING, FRYING RICE BRAN LIQUID CLEAR NON GMO OIL",
2026-03-01,7329113,"MAYONNAISE, EXTRA-HEAVY PLASTIC JUG SHELF STABLE",
2026-03-01,4364063,"MUSTARD, YELLOW PLASTIC JAR SHELF STABLE",
2026-03-01,3636982,"SAUCE, WORCESTERSHIRE PLASTIC JUG SHELF STABLE",
2026-03-01,8013625,"SAUCE, HOT RED PLASTIC JUG SHELF STABLE ORIGINAL",
2026-03-01,698688,"OIL, BUTTER ALTERNATIVE SOYBEAN SALTED LIQUID PLASTIC BOTTLE",
2026-03-01,8003956,"SAUCE, TERIYAKI GLAZE PLASTIC JUG SHELF STABLE",
2026-03-01,78964,"SAUCE, BBQ PLASTIC JUG SHELF STABLE ORIGINAL",
2026-03-01,9837196,"SAUCE, CHILI SWEET PLASTIC JUG SHELF STABLE WING",
2026-03-01,1328335,"VINEGAR, DISTILLED WHITE DOMESTIC 50 GRAIN PLASTIC JUG",
2026-03-01,9002080,"SAUCE, STEAK A-1 GLASS BOTTLE SHELF STABLE",
2026-03-01,3018538,"SAUCE, HOT GLASS BOTTLE SHELF STABLE ORIGINAL",
2026-03-01,8218208,"SAUCE, HOT LOUISIANA GLASS BOTTLE SHELF STABLE",
2026-03-01,5610571,"CROUTON, SEASONED CUBE SS .5X.5X.5",
2026-03-01,1177922,"CRACKER, SALTINE SALTED SHELF STABLE",
2026-03-01,7945926,"CRACKER, SALAD WAFER IW",
2026-03-01,5601679,"CHIP, POTATO SS BAG SHELF STABLE REGULAR",
2026-03-01,9855909,"STRAW, JUMBO 7.75 TRANSLUCENT WRAPPED PAPER STANDARD POLYPROPYLENE BOX",
2026-03-01,4060067,"TOOTHPICK, WOOD MINT WRAPPED",
2026-03-01,3605755,"TRAY, PAPER FOOD .5 LB COATED KRAFT BROWN ECOCRAFT",
2026-03-01,7333263,"SEASONING, FAJITA SHELF STABLE SPICE",
2026-03-01,6501159,"SEASONING, LEMON PEPPER PLASTIC SHAKER SHELF STABLE SPICE",
2026-03-01,184937,"TEA BAG, ICED BLACK ORANGE PEKOE CAFFEINATED 4 GAL YIELD FILTER-POUCH SHELF",
2026-03-01,9206974,"TEA BAG, ICED BLACK SWEETENED CAFFEINATED 3 GAL YIELD FILTER PACK",
2026-03-01,1201093,"CUP, PET PLASTIC 20 OZ SPECIAL PRINT",
2026-03-01,1637321,"LID, CUP 12-24 OZ FLAT PET PLASTIC TRANSLUCENT",
2026-03-01,1851438,"CUP, SOUFFLE POLYSTYRENE 3.25 OZ TRANSLUCENT PORTION PLASTIC",
2026-03-01,2939411,"LID, CUP SOUFFLE 3.25-4 OZ FLAT PET PLASTIC CLEAR PLASTIC COVER",
2026-03-01,7005226,"CONTAINER, FOAM 4 OZ SQUAT WHITE",
2026-03-01,7002041,"LID, CUP 4-6 OZ VENTED PLASTIC WHITE",
2026-03-01,6883961,"CONTAINER, FOAM 6 OZ SQUAT WHITE",
2026-03-01,1051822,"LID, BOWL VENTED 6-8 OZ ROUND PLASTIC TRANSLUCENT",
2026-03-01,8609174,"TOWEL, PAPER 9X11 PERFORATED ROLL WHITE 2 PLY 85 SHEET",
2026-03-01,8869828,"NAPKIN, DISPENSER INTERFOLD BROWN 7.88X6.5 PAPER 1 PLY RECYCLED",
2026-03-01,4818803,"WRAP, 12X12 WAX PAPER NATURAL FLAT PACK GREASE RESISTANT",
2026-03-01,511550,"LINER, BASKET 12X12 PAPER RED CHECKERED GINGHAM",
2026-03-01,1328699,"SHORTENING, FRYING SOYBEAN LIQUID CLEAR PLASTIC JUG SHELF STABLE OIL",
2026-03-01,4594181,"PAPER, 18X1100' FREEZER PAPER WHITE WRAP",
2026-03-01,4834081,"FILM, 18X2000' PLASTIC ROLL SLIDE CUTTER BOX FOOD WRAP",
2026-03-01,5328257,"FOIL, ALUMINUM 18X500' HEAVY-DUTY ROLL CUTTER BOX WRAP",
2026-03-01,6328249,"FOIL, ALUMINUM 12X1000' STANDARD ROLL CUTTER BOX WRAP",
2026-03-01,3328259,"WRAP, FOIL 9X10.75 INTERFOLD POP UP SHEET ALUMINUM",
2026-03-01,6328777,"MIX, DRESSING ITALIAN 1 GAL YIELD PACKET",
2026-03-01,7248339,"MIX, DRESSING RANCH 1 GAL YIELD PACKET",
2026-03-01,9041252,"CRACKER MEAL, CRUSHED MEDIUM BAG KRISPY SALTINE CRUMB",
2026-03-01,3013885,"FILTER, FRYER GREASE CONE 10 PAPER NON-WOVEN ECONOLINE",
2026-03-01,1504521,"LABEL, 2X3 REMOVABLE 500 ROLL IN/OUT",
2026-03-01,2550762,"HAIRNET, NYLON 24 BROWN LIGHTWEIGHT",
2026-03-01,9551578,"PICK, WOOD 4 ASSORTED COLOR FRILL",
2026-03-01,2330652,"FORK, DINNER WINDSOR 18/0 S/S MEDIUMWEIGHT",
2026-03-01,1330695,"KNIFE, STEAK 4.75 S/S PLASTIC HANDLE BLACK",
2026-03-01,445098,"TAPE, THERMAL CASH REGISTER WHITE 3.13X200' PAPER 1 PLY ROLL",
2026-03-01,4085338,"GUEST CHECK, SHRINK PACK SINGLE PAPER 3.5X6.75 PINK",
2026-03-01,2948859,"GRILL BRICK, 4X3.5X8 GLASS DUST SOFT WRAPPED GRIDDLE",
2026-03-01,2950343,"SCRUBBER, S/S 50 GR HEAVY-DUTY 400 SERIES ECONOMY",
2026-03-01,9075643,"SANITIZER, SURFACE FOOD CONTACT LIQUID SPRAY BOTTLE CLEAR SLIGHT SCENT K85",
2026-03-01,7912678,"CLEANER, GLASS K42 LIQUID SPRAY BOTTLE BLUE FLORAL SCENT",
2026-03-01,5341169,"CLEANER, OVEN and GRILL K13 LIQUID BOTTLE DARK ORANGE ODORLESS DEGREASER",
2026-03-01,7153448,"CLEANER, ALL-PURPOSE LIQUID SPRAY BOTTLE CLEAR W/ BLEACH",
2026-03-01,7945058,"DEGREASER, ALL-PURPOSE VP3 LIQUID JUG BLUE CLEANER",
2026-03-01,7886112,"GLOVE, POLY XL CLEAR STRETCH AMBIDEXTROUS",
2026-03-01,8362022,"DETERGENT, DISHWASHER D21 LIQUID PAIL RED ODORLESS LOW TEMP",
2026-03-01,8366320,"RINSE ADDITIVE, DISHWASHER D22 LIQUID PAIL GREEN HIGH SOLID",
2026-03-01,6365084,"SANITIZER, DISHWASHER D23 LIQUID PAIL CLEAR YELLOW LOW TEMP",
2026-03-01,9625922,"TOWEL, PAPER 7.88X15 CENTERPULL PERFORATED WHITE 1 PLY 320 SHEET",
2026-03-01,95745,"TISSUE, TOILET JUMBO ROLL 3.3X1000' N-PERF 2 PLY WHITE",
2026-03-01,8648164,"TOWEL, PAPER 9.5X9 MULTIFOLD BROWN 1 PLY",
2026-03-01,5751965,"DEODORIZER, URINAL SCREEN WAVE 3D SOLID BOX BLUE COTTON BLOSSOM SCENT",
2026-03-01,2950699,"MOP HEAD, CUT END #24 COTTON 4 PLY NARROW BAND NATURAL",
2026-03-01,7826506,"LINER, 33 GAL 33X38 BLACK 1.2 MIL CORELESS ROLL LINEAR LOW DENSITY REPROCES",
2026-03-01,7826290,"LINER, 60 GAL 38X58 BLACK 1.2 MIL CORELESS ROLL LINEAR LOW DENSITY REPROCES",
2026-03-01,4647806,"DETERGENT, DISH MANUAL LIQUID BOTTLE BLUE",
2026-03-01,2959917,"CLEANER, FLOOR ALL SURFACE F22 LIQUID PACKET BROWNISH RED PLEASANT SCENT",
2026-03-01,1010412,"PEPPER, BELL GRN DCD 1/4""",
2026-03-01,2332104,"CELERY, DCD 1/4"" FRESH REF",
2026-03-01,6326706,"POTATO, RUSET ID. 70 CT 10-13",
2026-03-01,8602054,"CUP, PET PLST 9 Z SQT CLD CLR",
2026-03-01,8648198,"TISSUE, TLT JMB RL 3.5"" WHITE",
2026-03-01,1005446,"MUSHROOM, SLCD THIN FRESH REF",
2026-03-01,7589787,"BACON, PORK RNDM CT SLCD BULK",
2026-03-01,1117268,"CHICKEN, GZZD RAW F2F CVP",
2026-03-01,5314802,"ROLL, WHT UNSL PARBK FZN BRD",
2026-03-01,9372855,"TOMATO, RND 5X6 #1 GRD FRESH 2",
2026-03-01,5010608,"CILANTRO, FRESH HERB",
2026-03-01,8609068,"LIME, 175-200 CT FRESH REF #2",
2026-03-01,791558,"CONTAINER, FM 4 Z SQT WHT",
2026-03-01,6969521,"GLOVE, VINYL X-LARGE PF NTRL",
2026-03-01,5513762,"TORTILLA, CHIP WHT CORN 6"" RAW",
2026-03-01,6395610,"SUGAR, WHT EX FINE CANE",
2026-03-01,5888482,"HAM, BNLS D-SHAPD NJ HW SMK 2D",
2026-03-01,9348134,"CHICKEN, WING 1&2JT JMB RW F2F",
2026-03-01,6366090,"PEPPER, JLP 1 1/9 BSHL FRESH",
2026-03-01,9505647,"AVOCADO, HASS BRKER STG 2-3 #1",
2026-03-01,760785,"SPICE, PPR BLK GRND PLST JUG",
2026-03-01,2745578,"PLATE, FM 10.25"" 3 CMPT WHT",
2026-03-01,6896393,"KIT, CTLY K-F-S NAP MW SLVR",
2026-03-01,7912660,"CLEANER, OVN & GRIL K44 AERSL",
2026-03-01,4736314,"DEODORIZER, URNL SCRN W/ BLOC",
2026-03-01,2305118,"ASPARAGUS, GRN BNCH LG 6-11 LB",
2026-03-01,3551421,"LEMON, FRESH REF",
2026-03-01,1901586,"MEAT SUB, MTBL MEATL VEGAN CKD",
2026-03-01,7355280,"AVOCADO, HASS BRKER STG 2-3 #2",
2026-03-01,6899289,"CRAYON, 4 PK ASST",
2026-03-01,7607237,"CUP, PLST 12Z KID SEA W/LID&ST",
2026-03-01,0,,
2026-03-01,466821,"BACON, PORK SLCD SLAB RAW FZN",
2026-03-01,6714032,"BEEF, RBY 112A 2X2"" LON RW F2F",
2026-03-01,8429292,"JUICE, APPL 100% VITMN C ADDED",
2026-03-01,9284670,"PORK, LOIN CC BELLY STRAP EXP",
2026-03-01,6328116,"CORN, YLW KRNL FCY FZN BAG",
2026-03-01,6364616,"LINER, 12-16 GAL 24X32 CLR .35",
2026-03-01,9917069,"OIL, OLIV POMCE IMP ITALY",
2026-03-01,7662349,"PLATE, PLYST 10.25"" WHT DECTD",
2026-03-01,1536807,"POTATO, RUSET ID. 40 CT FRESH",
2026-03-01,5489441,"MIX, GRVY PORK BAG SHLF STABL",
2026-03-01,7416663,"PORK, LOIN CC BNLS .25"" TRIMD",
