0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2326411,"LETTUCE, ICEBERG FRESH REF BOX",,1.5,0,0.5,0.5,2,1.5,1,1,0,0.5,3,2.5,1.5,2,1,1,0.75,0,0.5,2
5326418,"LETTUCE, ROMAINE FRESH REF",,1,1,1.5,1.5,1,1,1,0,1,0.5,1,1,0.5,1,0.5,1,1,0.5,0.5,2
2326445,"SALAD MIX, MESCLUN SPRING BAG FRESH REF LETTUCE",,1,0,1,0,2,1,1,0,1,,,,1,1,0,1,1,0,1,1
1049803,"LIME, #2 GRADE 230-250 COUNT FRESH REF BULK",,0.5,1.5,1.5,1.25,0,1.5,1.25,0.75,2,0.5,1,1,2,1.5,0.5,,0,1,1,1.25
3264931,"MARGARINE, SALTED TUB REF WHIPPED",,4,5,3,7,2,6,10,0,8,6,1,4,8,4,6,10,6,2,6,3
315606,"MILK, BUTTERMILK BULGARIN REF",,6,3,3,6,12,9,5,3,4,,9,9,6,6,3,5,3,3,12,9
761940,"MILK, WHOLE PASTEURIZED RBST FREE VITAMIN D GRADE A JUG REF HOMOGENIZED",,3,1,4,2,3,3,1,4,2,0.5,2,4,3,1.25,3,1,3,1.5,4,2
5006465,"MUSHROOM, SLICED FRESH REF",,0,0.5,1,0.5,1,0.5,1,0,1,1,1,1,,1,0,,0.5,1,1,2
3331972,"MUSHROOM, WHITE EXTRA-LARGE #1 GRADE BOX FRESH REF",,4,1,8,7,3,3,4,3,3,6,2,3,7,4,2,7,3,4,8,5
3037330,"PEPPER, CHILI SERRANO FRESH REF",,1,0.75,0.75,2,0.5,0.25,1.25,1,1,1,1,,1,1,1,0.25,1,0.5,1,0.5
6010482,"PEPPER, JALAPENO FRESH REF",,0.25,1,1,1.25,0.5,0.25,0.5,0,1,0.5,0.25,1,1,0.25,1,1,1,0.5,0.5,0.75
2739175,"SOUR CREAM, CULTURED ALL NATURAL TUB REF",,0,3,3,6,2,4,7,6,4,2,4,2,5,3,1,3,2,4,6,4
2331353,"TOMATO, ROUND 5X6 #1 GRADE FRESH REF BULK",,0.25,2,2.5,1,2,1,0,2,1.5,,2,,1.5,0.25,2.5,,2,0.5,0.5,2
4731741,"TOMATO, GRAPE RED FRESH REF BULK",,0.75,1.5,1,0.5,1,1,0.5,1,1,0.5,,1,1,0.75,0.5,1.25,1.5,1.5,0.5,1
3852858,"TORTILLA, CHIP YELLOW CORN 6 SHELF STABLE RAW 4 CUT",,1,2,1,2,2,1,3,1,1,2,1,1,3,2,1,3,2,1,2,1
3016342,"ZUCCHINI, GREEN MEDIUM FRESH REF SQUASH",,0,1,0.5,1.5,1,0.5,1,1,0.5,1,0.5,1.25,0.5,1,0.5,1.25,0.5,1,0.5,1.75
8327249,"CHEESE, PROVOLONE LOG PLASTIC WRAPPED REF",,1,0,0,1,1,0,1,0,1,,1,1,,1,,1,1,0,0,1
3340510,"CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",,3,2,1,5,4,2,5,4,0,3,2,3,2,1,4,2,0,2,4,4
5332630,"CHEESE, CHEDDAR MILD SHRED FEATHER YELLOW REF",,9,4,6,6,10,5,10,12,7,2,12,7,3,1,2,5,8,3,6,7
6419501,"CHEESE, CHEDDAR YELLOW MILD SLICED .75 OZ TWIN PACK REF",,3,0,8,0,3,1,6,3,0,2,7,5,4,7,,5,0,0,3,0
6432884,"CHEESE, PEPPER JACK SLICED .75 OZ TWIN PACK REF",,4,5,6,0,3,1,6,4,3,5,,5,3,,5,6,0,0,5,2
2466128,"CHEESE, SWISS SLICED 120 COUNT PROCESSED REF",,3,2,5,4,3,2,6,4,4,3,3,1,4,,4,4,5,4,3,3
7328537,"DRESSING, BLUE CHEESE CHUNKY REF PLASTIC JAR POURABLE",,2,1,1,1,1,1,1,0.5,1,0.75,,1,1.25,1,1,1,1,0.25,1,1
3328713,"DRESSING, 1000 ISLAND SHELF STABLE PLASTIC JAR TRADITIONAL",,1.5,1,1,1,1,1,1,1,1,0.75,1,1,1,,1,1,1,0.75,1,1
8329062,"DRESSING, FRENCH ORANGE TFF PLASTIC JAR SHELF STABLE",,2,2,2,2,2,2,2,2,1,2,1.25,2,1.5,1,1,1,1,1,1,1
3213469,"DRESSING, HONEY MUSTARD SWEET REF PLASTIC JAR",,2,2,1,1,1,1,1,1,1,1,,2,1,1,1,1,1,1,1,1
1328608,"DRESSING, COLESLAW CREAMY SHELF STABLE PLASTIC JAR",,4,3,2,3,2,3,1,2,2,2,2,1,2,1.5,2,2,1,1,2,2
5328406,"DRESSING, RANCH BUTTERMILK REF PLASTIC JAR HOMESTYLE",,10,7,7,12,6,9,12,11,6,7,8,8,11,11,6,10,7,8,6,9
8025207,"CHICKEN, GIZZARD BONELESS RAW FROZEN",,6,4,2,2,2,0,6,6,4,4,3,2,0,4,10,6,8,64,4,4
8366296,"SURIMI, IMITATION CRABMEAT CHUNK and FLAKE COOKED FROZEN VALUE MSC DOMESTIC",,6,6,4,4,2,0.5,6,1,4,4,4,4,2,4,,4,4,4,2,4
3138880,"SAUSAGE, CHORIZO PORK GROUND RAW FROZEN",,2,0,2,2,2,2,2,1,2,3,2,2,1,1,2,2,2,2,2,1
1017127,"HAM, BONELESS BUFFET NATURAL-JUICE HARDWOOD SMOKED COOKED REF BAG 3-DIAMOND",,0,2,1,1,0,2,1,0,2,2,1,,3,2,1,1,1,0,2,2
616400,"ROLL, HOAGIE WHITE 3.5 OZ 8 SLICED COOKED BAKED FROZEN BAG HEARTH SUBMARIN",,12,10,4,12,8,7,4,10,4,12,8,6,12,10,6,12,6,3,12,11
207498,"BREAD, WHEAT BERRY 17 SLICED 11/16 LOAF FROZEN",,8,6,8,8,8,4,3,1,8,8,8,8,9,9,8,8,8,8,8,2
2633394,"BREAD, RYE MARBLE 17 SLICED 5/8 LOAF BAKED FROZEN",,8,6,8,8,8,4,2,10,8,8,8,8,,0,8,8,8,8,8,10
4320487,"CHILI, BEEF NO BEAN RTU TUB FROZEN",,4,2,5,3,1,5,6,2,0,5,3,1,6,5,3,2,0,6,4,3
5602354,"APPETIZER, CHEESE MOZZARELLA BREADED ITALIAN STICK 3.25 TFF RAW FROZEN BAG",,4,0,0.5,4,0,4,8,0,3,2,,6,,,,4,0,4,4,1.8
4182234,"APPETIZER, POTATO PEPPER CHEDDAR BREADED FROZEN SOUTHWESTERN MUNCHER",,6,6,0,6,5,6,6,0,6,6,0.5,,1,1,12,6,6,0,6,1
3041423,"CORN DOG, ALL-MEAT FROZEN",,0.5,0,0,1,0,2,1,1,0,1,0.75,,1,,1.5,1.5,0.5,0,0.5,0
4328910,"HOT DOG, ALL-BEEF 5:1 6 ROLLER GRILL COOKED FROZEN",,1,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,,1,1,1,1.5,0.5,2,1,2,0
2725042,"CHICKEN, WING 1ST-and-2ND-JOINT MEDIUM RAW CVP REF UNFLAVORED",,9,9,7,7,5,13,4,12,6,6,9,8,11,6,7,10,2,8,8,7
2720977,"CHICKEN, BREAST DOUBLE-LOBE RANDOM BONELESS SKINLESS RAW REF CVP JUMBO",,2,1,3,3,2,3,1,3,2,1,1,3.5,4,3,1,3,2,2.5,4,2
2725661,"Chicken, Breast Double-lobe 6 Oz Boneless Skinless Ref Cvp",,1,0.5,2,1,1,1,3,2,1,2,1,2.5,1,3,2,2,2,2,3,2
5314208,"BEEF, CUTLET SELECT RAW FROZEN",,2,3,4,2,2,4,4,3,4,5,3,4,5,2,5,3,1,4,6,3
3408822,"BEEF, RIBEYE 112A 2X2 LIP-ON RAW REF VACUUM-PACK",,4,4,5,1,0,5,4,3,0,4,5,6,2,1,,,2,5,5,2
4558003,"BEEF, PHILLY FLAT RAW 4 OZ FROZEN BAG SLICED SOLUTION ADDED MODERATELY",,3,1,3,1,2,1,2,2,1,4,1,1,3,2,2,2,1,2,2,2
2571705,"BEEF, CHUCK SHOULDER CLOD CHOICE ANGUS 114 BONELESS RAW REF",,0,0,11,11,0,13,0,0,0,,,6,,,4,7,0,8,8,0
6740178,"SHRIMP, 41-50 WHITE PEELED-and-DEVEINED TAIL-OFF RAW IQF FROZEN BAG NO-PHOS-A",,4,3,0.4,0,3,3,2,1,5,3,6,2.6,4,1.4,1.6,3.6,0.6,2,25,1
6911663,"PANGASIUS, STRIPED 5-7 OZ FILLET PBO SKINLESS RAW IQF FROZEN FARMED SWAI",,2,3,4,2,2,2,0,0,5,4,3,3,3,3,3,1,5,4,2,2
4661918,"SHRIMP, 16-20 WHITE PEELED-and-DEVEINED TAIL-ON RAW IMPORTED IQF FROZEN BAG F",,6,0.4,2,2,0.4,3,0,1,2,2,,2.4,1,3,2.2,2,0.4,2,15,2
1552124,"POTATO, FRENCH-FRY SHOESTRING 1/4 COATED CLEAR EXTRA-LONG-FANCY FROZEN",,6,4,8,6,6,3,6,5,3,5,4,5,5,8,4,6,6,5,5,8
6083968,"POTATO, TATER NUGGET TFF PARFRIED FROZEN PUFF",,2,4,6,4,3,3,5,3,4,3,4,3,4,4,2,4,5,1,6,1
7979586,"POTATO, SWEET FRENCH-FRY WAFFLE CUT THIN COATED FROZEN",,2,1,1,2,1,1,1,2,0,2,,2,2,,1,2,0,3,0,5
6450068,"HUSH PUPPY, JALAPENO PARFRIED FROZEN BAG APPETIZER",,1.5,1,2,2,1,1,0,0.5,2,1,1,1,1,1,0,3,2,2,0,1
1633130,"BACON,SLAB #2 CURED",,1.5,0.5,2,1,1,2.5,1.5,0,1,2.5,2.25,1,3,2,1.5,0,1,0,2,1.5
2240046,"BACON, PORK END and PIECE REAL DICED .25 SMOKED CURED COOKED REF GAS FLUSHED",,1,4,4,3,3,1,4,2,3,1,4,3,2,2,3,1,3,2,3,0
1321470,"BROWNIE, PECAN NOT ICED SHEET 1/2 24 SLICED TRAY FROZEN",,98,0,0,96,48,96,0,96,96,96,48,96,1,93,36,,48,48,96,24
6758940,"ICE CREAM, VANILLA BEAN 15% BUTTERFAT FROZEN PAPER TUB ALL NATURAL",,1,1,0.5,1,1,1,0,1.5,0,0.5,,1,1,,1,1,0,0.5,1,1
766949,"ICE CREAM, CHOCOLATE TUB",,2,1,1,1,1,1,1,1,0,0.5,,1,2,3,2.25,2,1,1,1,1
843771,"TOPPING, WHIPPED NON-DAIRY ULTRA PASTEURIZED AEROSOL REF",,0,6,12,21,12,9,8,10,10,10,5,5,,11,10,10,6,7,11,10
9487478,"CHEESECAKE, RASPBERRY DONUT 10 14 SLICED TRAY FROZEN CAKE",,0,2,1,0,2,2,2,0,0,2,2,2,1,14,1,2,1,2,2,1
755207,"CAKE, LAYER 2 CARROT ICED 9 14 SLICED GRANDMAS BOX FROZEN",,2,2,2,0,2,2,2,1,0,2,2,2,2,24,36,2,1,2,2,1
31765,"CAKE, CHOCOLATE GLAZED 5 OZ SS TRAY PACK FROZEN MOLTEN",,18,27,18,0,54,45,99,18,0,36,,36,27,36,1,36,27,18,36,18
5182720,"BAR MIX, GRENADINE PLASTIC SHELF STABLE COCKTAIL",,1,2,1,0,3,3,3,3,3,3,2,,,2,1,1,0,1,1,0
5308139,"JUICE, CLAMATO DRINK 34% ORIGINAL PET PLASTIC BOTTLE SHELF STABLE",,4,3,4,4,0,6,5,3,0,6,5,,,,16,6,5,4,24,2
4550881,"DRINK, SODA TONIC WATER CANADA DRY PET PLASTIC BOTTLE",,18,12,12,12,12,12,8,7,12,10,,,,16,16,24,16,24,24,24
4781939,"DRINK, SODA CLUB CANADA DRY PET PLASTIC BOTTLE",,18,12,12,6,12,10,8,3,0,24,18,,,12,2,,16,24,16,12
8915027,"STRAW, GIANT 7.75 BLACK UNWRAPPED STANDARD PLASTIC",,0,18,16,15,12,13,11,9,7,6,16,,,1,8,2,0,10,10,10
3002128,"SALT, KOSHER NOT IODIZED GRANULATED COARSE BOX SHELF STABLE",,3,3,3,3,2,21,14,14,14,13,13,,,12,8,8,10,9,11,10
3056553,"SUGAR, RAW CANE CRYSTAL BAG TURBINADO",,9,9,8,8,6,6,6,6,5,5,4,,,4,2,2,1,1,0,12
2006625,"JUICE, PINEAPPLE 100% CAN SHELF STABLE",,1,10,16,15,11,8,6,4,0,10,6,,,,11,7,2,10,10,3
7221484,"JUICE, GRAPEFRUIT RUBY RED 100% PLASTIC BOTTLE SHELF STABLE",,24,26,48,40,48,40,48,40,40,36,30,,,46,40,40,40,20,20,14
2327856,"JUICE, ORANGE 100% VITAMIN C ADDED ASEPTIC CARTON SHELF STABLE",,0,0,0,-,0,-,2,0.5,0,,12,,,10,7,7,0,0,24,24
6310726,"JUICE, CRANBERRY DRINK 27% BAR PAC MIXER PLASTIC BOTTLE SHELF STABLE",,4,4,0,0,8,12,11,11,11,10,9,,,3,5,5,2,5,2,1
6033922,"BAR MIX, SWEET and SOUR LEMON SHELF STABLE COCKTAIL",,3,2,4,3,2,0.5,5,4,3,2,5,,,,2,2,1,3,3,2
9057316,"BAR MIX, LIME FOIL BAG SHELF STABLE COCKTAIL",,11,11,8,7,8,4,6,6,5,4,3,,,1.5,,10,10,10,10,10
18267,"BAR MIX, MARGARITA CONCENTRATE 7:1 PLASTIC BOTTLE SHELF STABLE COCKTAIL",,3,4,2,3,4,3.5,5,5,4,0.5,1,,,11,6,6,8,6,8,6
3161452,"BAR MIX, MANGO PUREE CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",,9,9,8,10,7,7,5,5,5,4,5,,,,,,3,3,0,1
6948384,"BAR MIX, PEACH CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",,12,11,11,11,10,8,10,9,10,6,8,,,9,8,13,10,0,0,0
6948426,"BAR MIX, PINA COLADA CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",,-,-,-,-,0,-,-,7,7,,2,,,-,,,10,21,21,10
7071236,"BAR MIX, STRAWBERRY CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",,2,2,10,10,8,10,3,4,1,4,2,,,-,,,1,3,0,8
7800469,"NAPKIN, BEVERAGE WHITE 9.5X9.5 1 PLY PAPER 1/4 FOLD",,2,1,15,11,10,11,11,8,7,7,5,,,3,3,2,1,12,10,10
3333705,"OLIVE, MANZANILLA GREEN STUFFED PIMIENTO 300-320 COUNT SHELF STABLE GLASS J",,1.25,1.5,1.25,1,1,1,1,0.5,1.25,1,,,,1,2,2,0,1.5,1,1
1205582,"STRAWBERRY, CLAMSHELL FRESH REF",,6,4,0,6,1,0,5,3,0,6,3,,,,8,6,3,0,6,4
2186153,"PINEAPPLE, GOLDEN FRESH REF",,7,7,2,6,6,4,5,3,0,6,5,,,,6,,6,9,7,3
9357214,"ORANGE, NAVEL OR VALENCIA CHOICE 88 COUNT FRESH REF BOX",,0.5,0.5,0.25,0.25,0,1,1,1,1,1,1,,,1,0.5,,1,0,0.5,1
5881594,"CHERRY, MARASCHINO W/ STEM LARGE PLASTIC",,1.5,1.25,1,1,1,1,1,0.5,0,1,1,,,1,1,1,0,0,0.5,1
8387194,"WATER, MINERAL GLASS BOTTLE",,23,18,0,20,3,20,0,18,12,7,17,,,,20,12,0,24,25,12
7804644,"CONTAINER, FOAM 9X9 1 CMPT WHITE 3.25H HINGED LID DUAL TAB OPTIONAL VENTIN",,0.75,2.75,1.5,4,0,2.5,3,1,1.5,3,4,1,1.5,4,,2.5,1.5,2,2,1.5
6617609,"CONTAINER, FOAM 6X6 1 CMPT WHITE 3H HINGED LID",,4,3,7,8,7,5,5,5,5,4,3,4,1,2,3,3,2,1,1.5,1
6861538,"CONTAINER, PLASTIC 9 HEXAGON 1 CMPT BLACK HINGED LID CARRY-OUT",,0.5,0.5,0.5,1,1,1,1,0,1,1,1,0.5,1.5,1,1,1,2,0.5,0.5,1
6861488,"CONTAINER, PLASTIC 7 HEXAGON 1 CMPT BLACK 3 H HINGED LID CARRY-OUT",,1,0.5,1,1,1,1,1,0,2,1,1,0.5,1.25,1,1,1,1,0.5,1,1
738898,"BAG, CARRY-OUT 8 LB PAPER WHITE GROCERY",,750,300,250,250,0,1000,900,900,900,800,900,800,2,600,800,700,1,700,700,600
1310994,"BAG, FRENCH-FRY 5.5X4.5 PAPER WHITE GREASE RESISTANT",,2,1.5,1.25,1.5,2,1.5,1,1.5,1.5,1,1,1.5,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5
8917627,"KIT, CUTLERY SALT-and-PEPPER K-F-S NAP HEAVYWEIGHT BLACK POLYSTYRENE PLASTIC",,0,2.5,2.5,2,1.25,0.75,0.5,1,0.5,2.25,1.75,0.25,1.75,1.5,1.75,1,1.5,1.5,1.25,0.5
7008703,"BAG, T-SHIRT 11.5X6.5X21 POLYETHYLENE WHITE THANK YOU STOCK PRINT 12 MIC CA",,1,1,0.25,200,1,0.75,0.75,0,1,1,1,1,1,1,,1,1,0.5,0.5,0.5
3136199,"SUGAR SUB, PINK SWEET and LOW 1 GR SS PACKET SACCHARIN",,1,1,0.25,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,1,0.5,1,1,0.5
4329314,"MUSTARD, YELLOW SS POUCH",,0.5,1,0.5,1,0.5,0.5,0.5,1,0.5,1,1,1,,0.5,,1,1,1,1,1
8568531,"MAYONNAISE, SS POUCH SHELF STABLE",,1,1,1,1,0.5,0.5,0.5,1,0,1,1,1,1,0.5,0.5,1,1,1,1,1
9329384,"KETCHUP, TOMATO FANCY 33% SS FOIL PACKET SHELF STABLE",,1,1,1,1,0.5,0.5,0.5,0,1,1,0.75,1,1,0.5,0.5,1,0.25,1,1,1
2835205,"BAG, FLATWARE 2.75X10 PAPER WHITE SILVERWARE",,1,0.5,0.5,1.5,1.5,1.5,1,1,0.5,1,1,0.25,1,1,8,0.5,0,0.5,1.25,1
4261905,"PEPPER, JALAPENO SLICED NACHO MILD IN VINEGAR CAN SHELF STABLE",,4,3,0,5,4,4,2,1,0,5,4,3,2,0,2,4,2,1,0,5
4352191,"SAUCE, MARINARA TOMATO CAN SHELF STABLE DELUXE",,8,7,4,4,2,7,6,5,4,2,5,6,5,9,9,1,5,4,2,8
6329205,"BEAN, GREEN BLUE LAKE CUT 3-5 SIEVE EXTRA STANDARD CANNED",,6,9,10,9,20,3,7,2,11,10,7,8,12,8,3,20,12,4,11,9
9329269,"TOMATO, WHOLE IN JUICE PEELED CANNED",,3,3,6,4,4,4,2,2,2,0,6,6,3,3,0,4,2,3,3,3
9261892,"TOMATILLO, CRUSHED GREEN CANNED IMPORTED MEXICO",,2,1,5,5,4,4,2,2,2,0,5,5,4,4,1,11,10,6,6,5
7200736,"PICKLE, DILL CRINKLE-CUT CHIP 1/8 PLASTIC SHELF STABLE",,0,2,3,1,1,3,2,0,2,2,1,1,2,1,1,3,2,1,2,1
2353829,"FLOUR, ALL-PURPOSE",,3,4,3,1,2,5,3,1,5,2,2,5,2,1,5,3,1,6,3,1
6329924,"SALT, TABLE IODIZED BAG",,1,1,1,0,1,1,1,0,1,,1,1,1,1,1,,1,1,0,1
760827,"SPICE, PEPPER BLACK GROUND PLASTIC JUG 30M",,0.75,0,0,0,1,0,0,0,0,,,,,,0,1,0,0,1,0
8383283,"SUGAR, WHITE CANE EXTRA FINE BAG",,0,1,1,0,1,1,1,1,0,1,2,1,1,3,,2,1,2,1,1
8047557,"MIX, GRAVY PEPPER ADD WATER",,4,11,6,15,7,14,12,6,12,7,14,7,10,5,6,11,8,15,12,8
3749580,"MIX, GRAVY BROWN POUCH SHELF STABLE CLASSIC",,9,10,5,8,8,12,9,6,7,10,7,10,6,8,9,11,11,4,4,6
6326698,"ONION, YELLOW WHOLE SUPER COLOSSAL 4 1/4+ FRESH REF BAG",,1.5,0.5,2,2,1.5,1.5,2.5,0.5,1.5,,1,1,,2,0.5,1,0,1,1,0.5
4326690,"ONION, RED JUMBO FRESH REF BAG",,1,1,0,1,0,1.25,0,2,1.25,,1,,1,,1,1,1,1,0,1
4289443,"POTATO, YUKON GOLD A SIZE FRESH REF",,1,0.75,1,0.5,0,1.5,0.5,1.25,1.75,0.25,0.5,0.5,0.66,1,0.5,1.5,2,0.25,0.5,1.5
2326700,"POTATO, RUSSET IDAHO 40 COUNT FRESH REF",,2,1,3,1,1,2.5,4,2.5,2,2,4,2,3,3,,5,1.5,2,4,2
9579777,"BASE, SOUP CHICKEN FLAVOR GRANULAR PAIL SHELF STABLE",,0.5,1,1,0.5,0.25,1.25,1,1,1,1,,1,1.5,1.25,1,1,1,1,1,1
2228849,"BREADER, FISH SEASONED BAG",,1,1,1,1,1,1,0,1.5,1,1,,1.5,1.5,1,0.5,1.5,1,0,1,1
7501752,"KETCHUP, TOMATO FANCY 33% RED PLASTIC BOTTLE SHELF STABLE",,24,48,0,48,24,10,48,48,20,48,48,,48,48,1.5,96,48,48,24,24
190009,"KETCHUP, TOMATO FANCY 33% BAG-IN-BOX SHELF STABLE",,1,3,2,1.5,0.5,1,2,1,3,3,2,2,1,,3,2,2,3,2,1
7637705,"SHORTENING, FRYING RICE BRAN LIQUID CLEAR NON GMO OIL",,0.25,1.5,0.5,1,0,1,1,0.25,1,1,0.5,0.5,,1,1,0.5,1,0,1,0
7329113,"MAYONNAISE, EXTRA-HEAVY PLASTIC JUG SHELF STABLE",,6,8,1,3,0,3,2,1,7,4,1,9,5,2,8,1,0,1,3,0
4364063,"MUSTARD, YELLOW PLASTIC JAR SHELF STABLE",,1,1,0,4,3,3,3,3,2,2,1,1,1,,1,1,0,4,4,3
3636982,"SAUCE, WORCESTERSHIRE PLASTIC JUG SHELF STABLE",,0.25,1,1,1,1,1,1,1,0.5,0.5,,1,1,,1,1,1,1,1,0
8013625,"SAUCE, HOT RED PLASTIC JUG SHELF STABLE ORIGINAL",,4,1,3,2,3,2,5,4,11,,3,1,2,5,4,2,4,2,4,2
698688,"OIL, BUTTER ALTERNATIVE SOYBEAN SALTED LIQUID PLASTIC BOTTLE",,2,1,3,2,1,1,0,3,2,1,3,3,2,1,,3,2,1,0,3
8003956,"SAUCE, TERIYAKI GLAZE PLASTIC JUG SHELF STABLE",,1,0,1,0,1,1,0,1,1,,1,0,2,2,1,,1,1,1,0
78964,"SAUCE, BBQ PLASTIC JUG SHELF STABLE ORIGINAL",,3,2,1,5,4,4,4,4,3,3,2,2,1,4,4,3,3,3,3,1
9837196,"SAUCE, CHILI SWEET PLASTIC JUG SHELF STABLE WING",,0,4,2,2,1,1,0,4,3,2,2,1,1,2,,3,3,2,2,1
1328335,"VINEGAR, DISTILLED WHITE DOMESTIC 50 GRAIN PLASTIC JUG",,3,3,3,3,1,1,1,0,4,4,4,3,4,1,3,3,2,3,1,1
9002080,"SAUCE, STEAK A-1 GLASS BOTTLE SHELF STABLE",,7,6,5,3,2,2,6,2,3,3,,,,,,,0,0,12,12
3018538,"SAUCE, HOT GLASS BOTTLE SHELF STABLE ORIGINAL",,18,16,18,3,24,30,28,24,24,20,24,20,15,24,20,8,5,0,8,8
8218208,"SAUCE, HOT LOUISIANA GLASS BOTTLE SHELF STABLE",,9,6,6,2,0,0.5,0,12,0,,12,12,15,11,16,10,11,0,10,1
5610571,"CROUTON, SEASONED CUBE SS .5X.5X.5",,0.5,0.75,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5
1177922,"CRACKER, SALTINE SALTED SHELF STABLE",,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5
7945926,"CRACKER, SALAD WAFER IW",,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5
5601679,"CHIP, POTATO SS BAG SHELF STABLE REGULAR",,0,1,0.5,0.5,1,0.5,0,0.5,1,1,1,1,1,1,0.25,,1,1,1,1
9855909,"STRAW, JUMBO 7.75 TRANSLUCENT WRAPPED PAPER STANDARD POLYPROPYLENE BOX",,9,8,5,3,1,9,8,7,4,2,11,8,8,9,4,2,1,10,10,8
4060067,"TOOTHPICK, WOOD MINT WRAPPED",,4,1,1,1,1,1,1.5,2,0,1,1,1,2,2,2,,3,1,2,1
3605755,"TRAY, PAPER FOOD .5 LB COATED KRAFT BROWN ECOCRAFT",,2,3,4,6,2,3,6,3,3,4,4,5,3,4,6,5,1,4,2,2
7333263,"SEASONING, FAJITA SHELF STABLE SPICE",,2,1,2,1,1,2,2,1,1,2,2,1,1,1,1,2,2,1,2,0
6501159,"SEASONING, LEMON PEPPER PLASTIC SHAKER SHELF STABLE SPICE",,1,2,3,1,2,2,2,2,1,1,2,2,1,2,1,2,1,1,2,2
184937,"TEA BAG, ICED BLACK ORANGE PEKOE CAFFEINATED 4 GAL YIELD FILTER-POUCH SHELF",,12,32,12,8,32,36,32,28,20,16,8,32,32,24,32,30,16,1,32,32
9206974,"TEA BAG, ICED BLACK SWEETENED CAFFEINATED 3 GAL YIELD FILTER PACK",,10,16,12,16,14,24,20,12,14,10,8,12,4,14,8,10,6,16,8,8
1201093,"CUP, PET PLASTIC 20 OZ SPECIAL PRINT",,2,1.5,0.5,2,0.5,2,1,2.5,1.25,2,1,1,1.5,1.5,1.5,2,1.5,2.5,1.5,1.5
1637321,"LID, CUP 12-24 OZ FLAT PET PLASTIC TRANSLUCENT",,2,2,0.5,2,1,2,2.5,1.25,1,1.5,1.25,1.5,1.5,1,0.5,1.5,2.5,1.5,1.5,1.5
