0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
4661918,"SHRIMP, 16-20 WHITE PEELED-and-DEVEINED TAIL-ON RAW IMPORTED IQF FROZEN BAG F",0,1.166666667,1.4,2,0,4,2,3.5,1.4,2,0.8,1.8,1.2
1552124,"POTATO, FRENCH-FRY SHOESTRING 1/4 COATED CLEAR EXTRA-LONG-FANCY FROZEN",7,10,7,0,8,3,6,5,6,4,6,5,7
6083968,"POTATO, TATER NUGGET TFF PARFRIED FROZEN PUFF",4,3,4,1,6,4,5,5,5,3,6,2,4
7979586,"POTATO, SWEET FRENCH-FRY WAFFLE CUT THIN COATED FROZEN",1,2,3,1,1,3,2,2,2,2,1,3,2
6450068,"HUSH PUPPY, JALAPENO PARFRIED FROZEN BAG APPETIZER",2,1,0,1,0,2,1,1,,1,1,1,1
1633130,"BACON,SLAB #2 CURED",2,0,0.5,0,0.6,4,2,,1,1.5,0,1,1
2240046,"BACON, PORK END and PIECE REAL DICED .25 SMOKED CURED COOKED REF GAS FLUSHED",1,3,1,2,2,2,,3,1,,5,,3
1321470,"BROWNIE, PECAN NOT ICED SHEET 1/2 24 SLICED TRAY FROZEN",0,24,0,0,96,0.5,96,48,48,1,0,96,24
6758940,"ICE CREAM, VANILLA BEAN 15% BUTTERFAT FROZEN PAPER TUB ALL NATURAL",0,1,0,0.75,1,0.75,1,,1,0.75,1,1,0
766949,"ICE CREAM, CHOCOLATE TUB",1,2,1,1.5,1,1.5,1,1,,1.75,1,0.5,1
843771,"TOPPING, WHIPPED NON-DAIRY ULTRA PASTEURIZED AEROSOL REF",5,1,3,0,1,8,4,,14,13,9,8,9
9487478,"CHEESECAKE, RASPBERRY DONUT 10 14 SLICED TRAY FROZEN CAKE",2,2,0,0,1,0,1,1,,,1,0,0
755207,"CAKE, LAYER 2 CARROT ICED 9 14 SLICED GRANDMAS BOX FROZEN",0,2,1,1,1,0,1,1,1,1,0,0,0
31765,"CAKE, CHOCOLATE GLAZED 5 OZ SS TRAY PACK FROZEN MOLTEN",18,54,27,3,1,0,1,9,,27,36,27,9
5182720,"BAR MIX, GRENADINE PLASTIC SHELF STABLE COCKTAIL",0,0,2,0,1,0,0,12,9,10,11,10,11
5308139,"JUICE, CLAMATO DRINK 34% ORIGINAL PET PLASTIC BOTTLE SHELF STABLE",0,9,10,9,6,4,2,6,,6,4,3,1
4550881,"DRINK, SODA TONIC WATER CANADA DRY PET PLASTIC BOTTLE",5,6,4,1,6,1,1,48,24,3,14,16,25
4781939,"DRINK, SODA CLUB CANADA DRY PET PLASTIC BOTTLE",48,23,23,3,18,4,3,12,16,1,4,6,4
8915027,"STRAW, GIANT 7.75 BLACK UNWRAPPED STANDARD PLASTIC",9,9,4,6,5,5,4,3,3,1,1,8,9
3002128,"SALT, KOSHER NOT IODIZED GRANULATED COARSE BOX SHELF STABLE",4,5,3,3,2,3,3,3,3,3,6,3,4
3056553,"SUGAR, RAW CANE CRYSTAL BAG TURBINADO",7,6,7,7,6,7,7,6,8,6,2,4,5
2006625,"JUICE, PINEAPPLE 100% CAN SHELF STABLE",7,5,1,12,10,10,7,6,4,1,9,8,6
7221484,"JUICE, GRAPEFRUIT RUBY RED 100% PLASTIC BOTTLE SHELF STABLE",24,41,1.5,38,38,34,33,35,30,34,24,28,27
2327856,"JUICE, ORANGE 100% VITAMIN C ADDED ASEPTIC CARTON SHELF STABLE",7,-,6,6,6,5,5,6,6,5,6,5,4
6310726,"JUICE, CRANBERRY DRINK 27% BAR PAC MIXER PLASTIC BOTTLE SHELF STABLE",0,9,8,7,6,5,4,4,2,2,1,11,10
6033922,"BAR MIX, SWEET and SOUR LEMON SHELF STABLE COCKTAIL",3,5,1,8,7,7,6,5,4,4,2,2,6
9057316,"BAR MIX, LIME FOIL BAG SHELF STABLE COCKTAIL",1,12,11,11,9,8,5,12,8,9,7,7,8
18267,"BAR MIX, MARGARITA CONCENTRATE 7:1 PLASTIC BOTTLE SHELF STABLE COCKTAIL",2,1.5,6,6,5,5,5,4.5,8,4,4,4,4
3161452,"BAR MIX, MANGO PUREE CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",23,10,12,24,8,23,22,9,12,22,11,11,10
6948384,"BAR MIX, PEACH CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",17,12,12,17,8,14,15,11,12,16,20,12,10
6948426,"BAR MIX, PINA COLADA CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",-,-,-,-,-,-,-,,-,,0,,-
7071236,"BAR MIX, STRAWBERRY CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",4,12,12,15,12,14,9,9,12,10,7,10,6
7800469,"NAPKIN, BEVERAGE WHITE 9.5X9.5 1 PLY PAPER 1/4 FOLD",8,7,22,16,23,22,16,14,14,16,6,5,21
3333705,"OLIVE, MANZANILLA GREEN STUFFED PIMIENTO 300-320 COUNT SHELF STABLE GLASS J",2,1,1,1.5,1,1.5,1,1,1,1,1,1,0.5
1205582,"STRAWBERRY, CLAMSHELL FRESH REF",-,-,0,-,-,-,-,-,,-,0,-,-
2186153,"PINEAPPLE, GOLDEN FRESH REF",-,-,0,-,-,-,-,-,,-,0,-,-
9357214,"ORANGE, NAVEL OR VALENCIA CHOICE 88 COUNT FRESH REF BOX",0.5,6,1,1,1,1,1,,1,-,0,,1
5881594,"CHERRY, MARASCHINO W/ STEM LARGE PLASTIC",1,0.5,0.5,0.5,1,1,1,1,1,0.5,1.5,1.5,1
8387194,"WATER, MINERAL GLASS BOTTLE",0,16,17,13,4,15,5,,,24,19,,0
7804644,"CONTAINER, FOAM 9X9 1 CMPT WHITE 3.25H HINGED LID DUAL TAB OPTIONAL VENTIN",0.5,2,2,0,3.5,1,1,2,2.25,0,2,1.5,3
6617609,"CONTAINER, FOAM 6X6 1 CMPT WHITE 3H HINGED LID",1,0,1,3,3,0.75,2,2,1,5,1,0.5,4
6861538,"CONTAINER, PLASTIC 9 HEXAGON 1 CMPT BLACK HINGED LID CARRY-OUT",0.5,1,0.5,0.25,0,1,0.75,1,1,0.125,1,0.5,1
6861488,"CONTAINER, PLASTIC 7 HEXAGON 1 CMPT BLACK 3 H HINGED LID CARRY-OUT",0,-,0,0,0,1,0.5,1,500,0.75,1,1,0.5
738898,"BAG, CARRY-OUT 8 LB PAPER WHITE GROCERY",750,700,1.5,1,500,1,1,500,1,1,700,400,400
1310994,"BAG, FRENCH-FRY 5.5X4.5 PAPER WHITE GREASE RESISTANT",1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5
8917627,"KIT, CUTLERY SALT-and-PEPPER K-F-S NAP HEAVYWEIGHT BLACK POLYSTYRENE PLASTIC",0,0.5,1,1.25,0.5,1.75,0.75,,2.25,1.75,1,0.5,1.25
7008703,"BAG, T-SHIRT 11.5X6.5X21 POLYETHYLENE WHITE THANK YOU STOCK PRINT 12 MIC CA",1,0.5,1,1,1,0.75,0.5,1,,1,1,0.8,0.25
3136199,"SUGAR SUB, PINK SWEET and LOW 1 GR SS PACKET SACCHARIN",0,1,1,1,1,1,1,1,0.5,0.5,0.25,0.5,0.5
4329314,"MUSTARD, YELLOW SS POUCH",1,1,1,1,1,1,1,1,1,1,0,1,1
8568531,"MAYONNAISE, SS POUCH SHELF STABLE",1,1,1,1,1,1,,1,1,1,1,1,1
9329384,"KETCHUP, TOMATO FANCY 33% SS FOIL PACKET SHELF STABLE",1,1,1,1.25,1.25,1,0.75,1,1.5,1.5,1.5,1.5,1
2835205,"BAG, FLATWARE 2.75X10 PAPER WHITE SILVERWARE",0.75,0.5,1,1,0.5,1.5,1.25,1,0.75,0.5,1.5,1,0.5
4261905,"PEPPER, JALAPENO SLICED NACHO MILD IN VINEGAR CAN SHELF STABLE",4,2,7,6,5,4,3,2,5,6,5,3,2
4352191,"SAUCE, MARINARA TOMATO CAN SHELF STABLE DELUXE",0,4,2,7,5,4,2,6,5,3,0,5,3
6329205,"BEAN, GREEN BLUE LAKE CUT 3-5 SIEVE EXTRA STANDARD CANNED",2,8,7,9,4,7,8,9,2,11,5,7,7
9329269,"TOMATO, WHOLE IN JUICE PEELED CANNED",2,1,7,6,6,5,5,5,4,4,4,3,3
9261892,"TOMATILLO, CRUSHED GREEN CANNED IMPORTED MEXICO",0,-,-,-,-,-,0,-,-,,-,-,-
7200736,"PICKLE, DILL CRINKLE-CUT CHIP 1/8 PLASTIC SHELF STABLE",1.75,0.5,2,1,1,1.5,1,1.5,0.5,2,0.5,2.5,5
2353829,"FLOUR, ALL-PURPOSE",0,3,0.5,3,1,3,2.5,2,2,2.25,0.5,3,0.5
6329924,"SALT, TABLE IODIZED BAG",0.5,0,0.25,0,0.5,0.25,0.25,,1,0.25,0,,1
760827,"SPICE, PEPPER BLACK GROUND PLASTIC JUG 30M",0,0,1,0.74,0.5,1.5,1,0.25,1.25,1,0.5,1.2,1
8383283,"SUGAR, WHITE CANE EXTRA FINE BAG",2,1,1.5,1,0,2,2,1,1,1.25,0,3,3
8047557,"MIX, GRAVY PEPPER ADD WATER",5,3,6,7,5,4,7,6,2,8,6,6,4
3749580,"MIX, GRAVY BROWN POUCH SHELF STABLE CLASSIC",9,4,6,10,6,4,12,8,10,7,8,12,7
6326698,"ONION, YELLOW WHOLE SUPER COLOSSAL 4 1/4+ FRESH REF BAG",1.5,0,1,0,2,1,,1,1,,1,0.5,1
4326690,"ONION, RED JUMBO FRESH REF BAG",1,0,1,0.5,1,0.5,0.5,1,1,0.25,0.5,,1
4289443,"POTATO, YUKON GOLD A SIZE FRESH REF",1,1.75,0.25,1,1.5,1,1,0.75,0.25,0.5,1,,1
2326700,"POTATO, RUSSET IDAHO 40 COUNT FRESH REF",2,1.5,2,2,1,1,1,1.5,1,1.5,2,2,0.5
9579777,"BASE, SOUP CHICKEN FLAVOR GRANULAR PAIL SHELF STABLE",1.5,0,0.75,0.5,0.5,0.5,0.25,1.5,1,1.25,1,1,1
2228849,"BREADER, FISH SEASONED BAG",0.5,1,1,0.5,0.5,1,0.25,,1,0.25,1,1,0
7501752,"KETCHUP, TOMATO FANCY 33% RED PLASTIC BOTTLE SHELF STABLE",0,24,24,24,48,0.666666667,,,24,1.5,0,48,48
190009,"KETCHUP, TOMATO FANCY 33% BAG-IN-BOX SHELF STABLE",0.5,1.25,0.5,1,0.5,0.75,0,0.5,1.5,2,0.25,0.5,1
7637705,"SHORTENING, FRYING RICE BRAN LIQUID CLEAR NON GMO OIL",1,1.24,1,0.5,0.25,1,0.5,0.5,,,0,2,2
7329113,"MAYONNAISE, EXTRA-HEAVY PLASTIC JUG SHELF STABLE",2,4,2,2,0,3,2,1,3,3,2,5,4
4364063,"MUSTARD, YELLOW PLASTIC JAR SHELF STABLE",0,2,1,0,1,1,1,,1,1,0,2,2
3636982,"SAUCE, WORCESTERSHIRE PLASTIC JUG SHELF STABLE",0.25,0.25,0.25,0.25,1,0,1,,1.5,1.5,1.25,1.5,1.25
8013625,"SAUCE, HOT RED PLASTIC JUG SHELF STABLE ORIGINAL",4,5,4,2,5,4,2,4,3,2,3,2,4
698688,"OIL, BUTTER ALTERNATIVE SOYBEAN SALTED LIQUID PLASTIC BOTTLE",1,3,2,2,1,5,3,3,2.25,1,4,3,2
8003956,"SAUCE, TERIYAKI GLAZE PLASTIC JUG SHELF STABLE",2,2,1,1,1,1,1,0.25,1,1,0,1.5,1
78964,"SAUCE, BBQ PLASTIC JUG SHELF STABLE ORIGINAL",2,2,2,0,5,4,4,4,3.5,3.5,0,4,4
9837196,"SAUCE, CHILI SWEET PLASTIC JUG SHELF STABLE WING",4,2,2,2,0,5,4,4,4,3,3,2,2
1328335,"VINEGAR, DISTILLED WHITE DOMESTIC 50 GRAIN PLASTIC JUG",2,2,2,1,0,4,4,1,3,1.5,5,4,4
9002080,"SAUCE, STEAK A-1 GLASS BOTTLE SHELF STABLE",9,8,12,15,0,14,12,7,6,12,8,6,8
3018538,"SAUCE, HOT GLASS BOTTLE SHELF STABLE ORIGINAL",30,24,36,30,24,24,24,20,20,17,24,15,20
8218208,"SAUCE, HOT LOUISIANA GLASS BOTTLE SHELF STABLE",11,0,11,10,11,11,11,10,8,10,10,12,6
5610571,"CROUTON, SEASONED CUBE SS .5X.5X.5",1,1,0.25,1,0,1,1,0.5,0.5,1,0.5,0.5,0.5
1177922,"CRACKER, SALTINE SALTED SHELF STABLE",0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,1,0.5,0.5,0.5
7945926,"CRACKER, SALAD WAFER IW",0.5,0.5,0.25,1,0,1,1,0.5,0.5,1,0.5,0.5,0.5
5601679,"CHIP, POTATO SS BAG SHELF STABLE REGULAR",1,0,1,1,1,60,0.9375,0.5,0.5,1,1,0.5,0.5
9855909,"STRAW, JUMBO 7.75 TRANSLUCENT WRAPPED PAPER STANDARD POLYPROPYLENE BOX",8,5,3,12,11,9,7,6,4,3,10,7,5
4060067,"TOOTHPICK, WOOD MINT WRAPPED",1,0,1,0,1,1,1,1,1,,0,,0.5
3605755,"TRAY, PAPER FOOD .5 LB COATED KRAFT BROWN ECOCRAFT",3,3,5,3,4,6,1,5,2,4,1,2,4
7333263,"SEASONING, FAJITA SHELF STABLE SPICE",2,2,1.5,2,1,2,2,1,2,1,2,1,2
6501159,"SEASONING, LEMON PEPPER PLASTIC SHAKER SHELF STABLE SPICE",2,2,1.5,2,1.5,1,1,2,2,2,2,1,2
184937,"TEA BAG, ICED BLACK ORANGE PEKOE CAFFEINATED 4 GAL YIELD FILTER-POUCH SHELF",16,20,8,28,24,20,,16,8,40,36,32,16
9206974,"TEA BAG, ICED BLACK SWEETENED CAFFEINATED 3 GAL YIELD FILTER PACK",8,8,8,8,5,4,0,11,10,8,0,8,14
1201093,"CUP, PET PLASTIC 20 OZ SPECIAL PRINT",1.5,2.5,1.5,0.75,2,1.5,1.5,1.75,2.5,1.5,1.5,2.5,1.5
1637321,"LID, CUP 12-24 OZ FLAT PET PLASTIC TRANSLUCENT",2.5,0,1.5,1,1.5,1,1,2.5,2,1.5,1.5,1.5,1
1851438,"CUP, SOUFFLE POLYSTYRENE 3.25 OZ TRANSLUCENT PORTION PLASTIC",0.25,0.75,0.25,0.8,0.5,4,,1.066666667,0.5,0.933333333,0.5,0.1,1.066666667
2939411,"LID, CUP SOUFFLE 3.25-4 OZ FLAT PET PLASTIC CLEAR PLASTIC COVER",1,0.75,0.5,0.3,0.5,10,2,0.1,1,0.5,1.5,1.1,0.5
7005226,"CONTAINER, FOAM 4 OZ SQUAT WHITE",1,0.75,0.5,0,0,19,0.75,1,,2,1,0.3,0
7002041,"LID, CUP 4-6 OZ VENTED PLASTIC WHITE",1,1,1.5,0,2.5,23,2,1,1,1.5,2,2,1.5
6883961,"CONTAINER, FOAM 6 OZ SQUAT WHITE",1,1.25,1.25,0.666666667,0.5,1.5,1,1,0.25,1.5,0,1.8,0.5
1051822,"LID, BOWL VENTED 6-8 OZ ROUND PLASTIC TRANSLUCENT",1.25,1.25,0.125,1.1,1,1,2,1,1,1.5,1,1,1.5
8609174,"TOWEL, PAPER 9X11 PERFORATED ROLL WHITE 2 PLY 85 SHEET",0.5,0.5,0.4,0.75,0.5,0,30,0.55,0.5,0.333333333,0.75,1,0.25
8869828,"NAPKIN, DISPENSER INTERFOLD BROWN 7.88X6.5 PAPER 1 PLY RECYCLED",0.5,0,1.5,0.708333333,1.5,3,,1,,,2.5,1.5,0.5
4818803,"WRAP, 12X12 WAX PAPER NATURAL FLAT PACK GREASE RESISTANT",2,2,2,2,2,1,1,1,1,1,1,1,0
511550,"LINER, BASKET 12X12 PAPER RED CHECKERED GINGHAM",4,8,7,6,5,3,3,1,5,4,3,2,5
1328699,"SHORTENING, FRYING SOYBEAN LIQUID CLEAR PLASTIC JUG SHELF STABLE OIL",3,8,4,4,0,4,2,6,1,6,2,6,0
4594181,"PAPER, 18X1100' FREEZER PAPER WHITE WRAP",1,1,0.5,1,1,1,1,0.5,0.5,0.125,1,1,1
4834081,"FILM, 18X2000' PLASTIC ROLL SLIDE CUTTER BOX FOOD WRAP",1,1,0.5,1,1,1,1,1,1,0.5,0.5,,1
5328257,"FOIL, ALUMINUM 18X500' HEAVY-DUTY ROLL CUTTER BOX WRAP",1,1,1,1.5,1.5,1,1.5,1,1,1,1,1.5,1
6328249,"FOIL, ALUMINUM 12X1000' STANDARD ROLL CUTTER BOX WRAP",1,1,0,1,1,1.5,1,1,1,0.25,1,0.3,1
3328259,"WRAP, FOIL 9X10.75 INTERFOLD POP UP SHEET ALUMINUM",0,2,5,2,2,1,2,2,2,2,2,2,1
6328777,"MIX, DRESSING ITALIAN 1 GAL YIELD PACKET",12,12,15,13,12,14,14,16,1,14,12,15,12
7248339,"MIX, DRESSING RANCH 1 GAL YIELD PACKET",-,-,0,-,-,-,,-,-,-,-,-,-
9041252,"CRACKER MEAL, CRUSHED MEDIUM BAG KRISPY SALTINE CRUMB",-,-,0,-,-,-,,-,-,-,-,-,-
3013885,"FILTER, FRYER GREASE CONE 10 PAPER NON-WOVEN ECONOLINE",-,-,0,-,-,-,,-,1,1,1,-,-
1504521,"LABEL, 2X3 REMOVABLE 500 ROLL IN/OUT",1,0.5,0.25,1,1,1,1,1,1,0,1,1,1
2550762,"HAIRNET, NYLON 24 BROWN LIGHTWEIGHT",2,1,1,1,-,1,1,1,2,1,1,,2
9551578,"PICK, WOOD 4 ASSORTED COLOR FRILL",1,1,1,1,-,1,1,2,2,,1,,0
2330652,"FORK, DINNER WINDSOR 18/0 S/S MEDIUMWEIGHT",1,0,0,1,1,1,1,1,,,1,1,1
1330695,"KNIFE, STEAK 4.75 S/S PLASTIC HANDLE BLACK",1,4,0,4,4,4,3,3,1,1,3,2,3
445098,"TAPE, THERMAL CASH REGISTER WHITE 3.13X200' PAPER 1 PLY ROLL",50,50,0.76,50,50,1.5,60,60,50,69,60,50,40
4085338,"GUEST CHECK, SHRINK PACK SINGLE PAPER 3.5X6.75 PINK",20,0,50,80,90,50,50,90,80,50,70,,60
2948859,"GRILL BRICK, 4X3.5X8 GLASS DUST SOFT WRAPPED GRIDDLE",4,0,11,9,8,7,6,4,3,1,11,11,9
2950343,"SCRUBBER, S/S 50 GR HEAVY-DUTY 400 SERIES ECONOMY",1,1,6,6,6,5,5,1,6,39,36,24,6
9075643,"SANITIZER, SURFACE FOOD CONTACT LIQUID SPRAY BOTTLE CLEAR SLIGHT SCENT K85",6,0,8,5,6,4,3,,,4,6,,4
7912678,"CLEANER, GLASS K42 LIQUID SPRAY BOTTLE BLUE FLORAL SCENT",1,-,1,1,1,1,1,1,1,,0,,1
5341169,"CLEANER, OVEN and GRILL K13 LIQUID BOTTLE DARK ORANGE ODORLESS DEGREASER",0,4,1,0,3,4,4,3,2,1.5,4,1,2
7153448,"CLEANER, ALL-PURPOSE LIQUID SPRAY BOTTLE CLEAR W/ BLEACH",6,9,0.75,8,9,5,0,8,7,6,0,11,9
7945058,"DEGREASER, ALL-PURPOSE VP3 LIQUID JUG BLUE CLEANER",0,0,0.25,1,5,4,3,2,1,5,4,3,2
