0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
8340978,"CREAM, WHIPPING HEAVY 40% BUTTERFAT UHT DAIRY CARTON GABLE TOP REF",8,8,4,14,13,12,10,10,8,6,15,12,24,24,10,14,14,12,12,12,11,10,10,10,9,8,7,6,6,6,6,4,3,2,11.0,10
2326411,"LETTUCE, ICEBERG FRESH REF BOX",1,2,1,1.5,2,0,0.5,1,1,2.5,1.5,2.5,1,1,21,1.5,1,1,0,1.5,1,0,0,2,1.5,2.5,1.5,0.5,1.5,0.5,2.5,1,1.25,0.5,0.5,2
5326418,"LETTUCE, ROMAINE FRESH REF",1,1,1,1,1,0,2,1,0,1,0.5,1,0,1,0,1,0,1,1,1,1,0.5,0.5,1.5,1.25,0.5,0,,0,0.5,1,1.25,0,1,0.8,1
2326445,"SALAD MIX, MESCLUN SPRING BAG FRESH REF LETTUCE",1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,,0,,1,3,0,1,1.0,1
1049803,"LIME, #2 GRADE 230-250 COUNT FRESH REF BULK",2,1.5,0.25,1.5,1,0,2,1.5,1,1.25,1,1,2,2,0.5,1.5,2,1.5,0,1.5,1.25,1.5,1.5,1.25,1.25,1.5,0.5,,1.5,1.5,1,,3,2,1.0,1.5
3264931,"MARGARINE, SALTED TUB REF WHIPPED",7,4,6,10,6,9,6,8,2,9,6,6,3,7,5,5,4,9,7,7,5,2,2,6,5,2,6,3,9,7,7,6,2,8,4.0,10
315606,"MILK, BUTTERMILK BULGARIN REF",12,12,12,12,6,3,6,6,0,9,12,9,6,12,6,6,6,6,5,3,3,3,3,9,12,6,6,6,0,,6,9,12,9,12.0,6
761940,"MILK, WHOLE PASTEURIZED RBST FREE VITAMIN D GRADE A JUG REF HOMOGENIZED",4,3,5,4,1.5,3,3,2.5,2,4,3.5,4,4,2,3,3,3,1,1.5,5,3,4,4,2,1.5,0,4,4,4,1.5,6,4,12,2,1.5,3
5006465,"MUSHROOM, SLICED FRESH REF",1,2,0,1,1,0,1,1,1,1,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,,0,,0,1,1.0,0
3331972,"MUSHROOM, WHITE EXTRA-LARGE #1 GRADE BOX FRESH REF",9,7,3,8,7,4,4,6,3,7,6,3,3,7,5,5,4,5,5,5,3,3,3,2,1,2,6,6,6,5,4,4,2,6,5.0,6
3037330,"PEPPER, CHILI SERRANO FRESH REF",1,0.5,1,1,1,1,1,0.5,1,1,1,1.5,2,1,2,1,1,1,0.5,1,1.25,0,0,1,1,1,0,,0.5,1,0,,1,1,,1
6010482,"PEPPER, JALAPENO FRESH REF",1,0.5,0.5,0.5,1,1,0.5,0,0.5,1,0.5,0.5,1,1,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1,1,1,1,0.5,0.5,0.25,0.25,,1
2739175,"SOUR CREAM, CULTURED ALL NATURAL TUB REF",6,5,3,5,5,2,4,6,6,3,7,2,4,6,2,6,4,8,6,6,4,3,3,5,5,3,2,,4,3,2,1,3,7,5.0,5
2331353,"TOMATO, ROUND 5X6 #1 GRADE FRESH REF BULK",1,3,2,0,3,1,2.5,0,2,0,2,1,1,1,2,2,2,2,0.25,1.5,1.5,0,3,2,2,3,1,1,2,1.5,1,1,1,3,2.0,2
4731741,"TOMATO, GRAPE RED FRESH REF BULK",0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.75,0.5,0.5,1,1,0.75,0.5,,0.5,0.5,1.5,0.25,1,1,0.5,1
3852858,"TORTILLA, CHIP YELLOW CORN 6 SHELF STABLE RAW 4 CUT",2,2,2,3,3,2,2,2,2,2,2,1,2,3,2,1,1,1,2,2,1,1,1,3,3,2,2,1,1,2,1,2,1,2,3.0,1
3016342,"ZUCCHINI, GREEN MEDIUM FRESH REF SQUASH",0.5,1.5,1,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0,1,1,0.5,1,1,1,0.5,1,1,1,1.5,0.25,1,1,1,1,0.5,,1,1,1.3,1
8327249,"CHEESE, PROVOLONE LOG PLASTIC WRAPPED REF",1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1.0,1
3340510,"CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",5,4,1,5,5,4,1,2,4,4,4,4,4,3,4,2,2,6,5,4,4,1,1,5,2,3,3,1,5,4,3,3,3,3,2.0,1
5332630,"CHEESE, CHEDDAR MILD SHRED FEATHER YELLOW REF",8,12,4,8,15,12,7,12,3,12,10,4,2,12,2,2,0,12,8,12,8,5,5,10,7,14,10,8,6,5,9,8,3,4,8.0,3
6419501,"CHEESE, CHEDDAR YELLOW MILD SLICED .75 OZ TWIN PACK REF",4,2,6,5,4,5,8,6,2,5,5,5,5,3,6,7,7,6,6,4,2,7,7,6,6,3,3,2,7,5,2,4,0,3,,7
6432884,"CHEESE, PEPPER JACK SLICED .75 OZ TWIN PACK REF",5,4,8,6,6,4,6,4,3,5,6,4,5,3,6,7,6,7,6,5,4,3,3,2,1,5,5,4,4,3,4,1,0,4,,2
2466128,"CHEESE, SWISS SLICED 120 COUNT PROCESSED REF",4,3,2,6,6,3,1,6,7,4,3,2,4,4,2,3,3,3,2,2,1,4,4,4,3,1,5,5,5,4,4,4,4,4,2.0,12
7328537,"DRESSING, BLUE CHEESE CHUNKY REF PLASTIC JAR POURABLE",1,1,1,1,1,1,0.5,0.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1.5,3,3,1,3,3,3,0,1,1,1,1,1,1,1,1,1,0.3,1
3328713,"DRESSING, 1000 ISLAND SHELF STABLE PLASTIC JAR TRADITIONAL",1,1,1,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3,1
8329062,"DRESSING, FRENCH ORANGE TFF PLASTIC JAR SHELF STABLE",1.5,1.5,2,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,0.8,1
3213469,"DRESSING, HONEY MUSTARD SWEET REF PLASTIC JAR",1,1,1,2,2,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1.0,1
1328608,"DRESSING, COLESLAW CREAMY SHELF STABLE PLASTIC JAR",2,2,2,2,2,2,2,1,1,1,1,0,0,4,4,4,3,4,3,4,3,3,3,3,1,3,2,3,2,3,2,3,3,2,3.0,2
5328406,"DRESSING, RANCH BUTTERMILK REF PLASTIC JAR HOMESTYLE",17,20,5,20,20,12,13,14,20,26,21,10,12,15,7,7,6,21,14,20,8,9,9,15,11,12,9,4,9,11,24,18,9,20,11.0,20
8025207,"CHICKEN, GIZZARD BONELESS RAW FROZEN",6,4,2,2,2,4,6,6,4,7,4,2,6,2,6,3,2,8,6,6,5,2,2,8,6,6,4,4,2,4,2,2,2,8,6.0,6
8366296,"SURIMI, IMITATION CRABMEAT CHUNK and FLAKE COOKED FROZEN VALUE MSC DOMESTIC",2,0,0,0,4,1,2,2,2,2,4,1,2,2,2,1,4,4,2,2,4,2,2,2,0.5,2,2,4,0,,4,4,6,4,4.0,4
3138880,"SAUSAGE, CHORIZO PORK GROUND RAW FROZEN",2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3,3,2,4,4,4,3,4,4,3,4,2,4,2.0,4
1017127,"HAM, BONELESS BUFFET NATURAL-JUICE HARDWOOD SMOKED COOKED REF BAG 3-DIAMOND",2,2,1,1,1,0,1,1,1,2,2,3,1,1,2,0,1,1,0,0,0,0,0,1,2,2,1,1,0,,2,2,2,2,,1
616400,"ROLL, HOAGIE WHITE 3.5 OZ 8 SLICED COOKED BAKED FROZEN BAG HEARTH SUBMARIN",12,12,10,9,6,5,6,15,8,9,9,11,12,9,12,4,4,10,10,8,11,5,5,13,12,10,9,8,7,6,8,4,12,12,12.0,8
207498,"BREAD, WHEAT BERRY 17 SLICED 11/16 LOAF FROZEN",7,7,8,8,8,7,8,8,7,6,6,3,2,8,8,4,3,3,2,2,2,1,1,9,8,6,5,8,5,4,8,,8,8,8.0,8
2633394,"BREAD, RYE MARBLE 17 SLICED 5/8 LOAF BAKED FROZEN",2,1,4,0,0,0,5,5,8,8,8,5,5,5,5,0,3,3,2,2,2,1,1,9,8,6,5,8,5,4,8,,8,8,8.0,8
4320487,"CHILI, BEEF NO BEAN RTU TUB FROZEN",6,5,0,6,4,2,6,4,1,4,6,4,4,3,5,1,1,6,6,5,5,4,4,3,0,2,1,,6,5,4,4,2,6,8.0,8
5602354,"APPETIZER, CHEESE MOZZARELLA BREADED ITALIAN STICK 3.25 TFF RAW FROZEN BAG",2,2,6,2,1,0,1,1,1,2,1,1,0,2,1,1,4,1,2,3,0,2,2,2,8,4,2,,1,4,0,,4,1,4.0,1
4182234,"APPETIZER, POTATO PEPPER CHEDDAR BREADED FROZEN SOUTHWESTERN MUNCHER",1,1,6,1,1,1,1,1,1,1,2,2,1,1,1,2,6,1,6,6,6,0,0,1,6,0,6,6,1,5,1,6,12,0,12.0,0
3041423,"CORN DOG, ALL-MEAT FROZEN",1,0.5,1,1,1,0,0.5,1.5,0.5,1,1.5,0.5,1,1,1,1,0,1.5,1.25,1,0.5,0,0,1,1,0,1,1,0.5,1,0.5,,1,1,0.5,0.5
4328910,"HOT DOG, ALL-BEEF 5:1 6 ROLLER GRILL COOKED FROZEN",1,1,1,1,1,1,1,1,1,1.5,2,1,0,1,0,0,0,1,1,1,0.5,1,1,1,1,1,0,,1,2,1,1,1,0.5,1.0,0.5
2725042,"CHICKEN, WING 1ST-and-2ND-JOINT MEDIUM RAW CVP REF UNFLAVORED",12,11,7,13,10,10,11,7,8,14,14,10,8,12,7,9,9,10,5,10,7,10,10,14,15,9,9,8,11,9,7,2,10,10,5.0,11
2720977,"CHICKEN, BREAST DOUBLE-LOBE RANDOM BONELESS SKINLESS RAW REF CVP JUMBO",4,3,2,5,5,4,2,5,1,4,4,3,2,4,3,0,1,3,1,2,3,1,1,5,3,4,2,2,3,4,3,3,1,4,2.0,4
5314208,"BEEF, CUTLET SELECT RAW FROZEN",3,2,1,2,2,3,1,3,1,3,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,1,4,3,3,3,2,2,1,2,1.0,3
3408822,"BEEF, RIBEYE 112A 2X2 LIP-ON RAW REF VACUUM-PACK",6,5,3,7,6,4,3,6,3,7,5,3,3,5,2,5,4,5,3,4,3,4,4,5,4,2,0,1,3,2,8,4,2,0,5.0,5
4558003,"BEEF, PHILLY FLAT RAW 4 OZ FROZEN BAG SLICED SOLUTION ADDED MODERATELY",4,2,1,2,4,2,6,6,0,0,0,0,0,0,0,0,5,0,4,3,3,2,2,2,4,3,3,3,2,4,2,,1,6,7.0,6
2571705,"BEEF, CHUCK SHOULDER CLOD CHOICE ANGUS 114 BONELESS RAW REF",2,2,1,2.5,3,3,2.5,3,1,4,2.5,1,2,2,2.5,1,1,1.5,1,2,2,0,0,3,3,0,2,2,1,1,2,1,3,2,2.0,3
6740178,"SHRIMP, 41-50 WHITE PEELED-and-DEVEINED TAIL-OFF RAW IQF FROZEN BAG NO-PHOS-A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,,0,7,0,7,0,0,,0
6911663,"PANGASIUS, STRIPED 5-7 OZ FILLET PBO SKINLESS RAW IQF FROZEN FARMED SWAI",4,4.5,3.5,3,3,5,2,3,2,4,4,2,1,3,3.5,1,0.6,2,1.2,3,2,1.5,1.5,3,3.4,2.6,4,3.4,3,2,4,3,2,1.5,1.8,2.5
4661918,"SHRIMP, 16-20 WHITE PEELED-and-DEVEINED TAIL-ON RAW IMPORTED IQF FROZEN BAG F",5,6,3,7,6,4,3,5,3,6,4,3,3,4,3,1,2,2,1,4,3,2,2,4,3,3,3,3,2,1,3,3,1,2,1.0,4
1552124,"POTATO, FRENCH-FRY SHOESTRING 1/4 COATED CLEAR EXTRA-LONG-FANCY FROZEN",4,3,2.5,4,4,3,1.5,3,3,3,4,2.5,1,2.5,2,2,1.8,2,1.8,1,1,2,2,1.5,0.6,1,3,3,3,3,2,2,1.166666667,1,1.2,2
6083968,"POTATO, TATER NUGGET TFF PARFRIED FROZEN PUFF",9,14,9,11,14,7,8,11,6,18,16,4,2,10,8,4,5,8,5,12,6,7,7,11,7,9,7,4,9,6,14,10,4,10,6.0,13
7979586,"POTATO, SWEET FRENCH-FRY WAFFLE CUT THIN COATED FROZEN",6,4,4,6,4,4,5,7,4,7,5,3,5,7,2,3,3,6,5,6,6,5,5,5,8,3,4,3,6,6,5,5,1,7,6.0,7
6450068,"HUSH PUPPY, JALAPENO PARFRIED FROZEN BAG APPETIZER",2,4,2,2,1,2,1,2,2,1,3,2,0,3,3,2,2,2,2,3,2,0,0,3,1,3,2,1,3,1,4,3,0,3,2.0,1
1633130,"BACON,SLAB #2 CURED",0,1,0,1,1,1,0,2,1,1,2,1,0,1,1,1,2,1,2,2,2,2,2,1,1,0,2,2,2,2,2,2,1,1,1.0,1
2240046,"BACON, PORK END and PIECE REAL DICED .25 SMOKED CURED COOKED REF GAS FLUSHED",3,2,1,3,2.5,2,3,2.5,2,2.5,3,2,3,1,3,1,1,3,2,1.5,0,3,3,2.5,2,2,1,,3,2,2,2,1,3,2.0,2
1321470,"BROWNIE, PECAN NOT ICED SHEET 1/2 24 SLICED TRAY FROZEN",2,1,4,3,3,2,4,4,2,4,2,2,4,4,3,2,2,1.5,0.5,4,3,1,1,4,4,4,3,2,1,1,4,3,2,3,4.0,2
6758940,"ICE CREAM, VANILLA BEAN 15% BUTTERFAT FROZEN PAPER TUB ALL NATURAL",0,0,1,0,0,1,1,1,96,96,96,96,96,96,96,96,48,96,48,48,0,48,48,48,0,48,48,0,48,48,0,1,48,0,48.0,0
766949,"ICE CREAM, CHOCOLATE TUB",1,0.5,2,1,1,5,1,1,1,1,1,1,0.5,1.5,1,1,1,1,1,1,0,1,1,1,2,0,0,1,0,1,1,1,0,1,1.0,1
843771,"TOPPING, WHIPPED NON-DAIRY ULTRA PASTEURIZED AEROSOL REF",1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1.5,1,1,0,1,1,1,2,3,3,2,3,2,2,1,0,2,1.5,1.5
9487478,"CHEESECAKE, RASPBERRY DONUT 10 14 SLICED TRAY FROZEN CAKE",18,18,4,18,18,4,4,4,12,12,12,12,3,3,12,12,18,16,15,15,12,15,15,15,10,9,9,6,7,6,6,1,3,6,10.0,6
755207,"CAKE, LAYER 2 CARROT ICED 9 14 SLICED GRANDMAS BOX FROZEN",2,2,0,0,0,0,2,2,30,30,30,30,30,30,30,0,8,0,16,16,0,16,16,16,0,8,8,0,8,6,7,8,0,7,,83
31765,"CAKE, CHOCOLATE GLAZED 5 OZ SS TRAY PACK FROZEN MOLTEN",2,2,1,1,1,1,2,2,23,23,23,23,72,72,72,72,6,72,8,8,3,8,8,8,0,8,8,0,8,6,24,8,0,24,,28
5182720,"BAR MIX, GRENADINE PLASTIC SHELF STABLE COCKTAIL",4,4,7,7,7,5,4,4,39,39,45,45,36,36,18,27,36,27,16,16,0,16,16,16,16,0,45,36,45,49,36,35,27,27,18.0,45
5308139,"JUICE, CLAMATO DRINK 34% ORIGINAL PET PLASTIC BOTTLE SHELF STABLE",1,1,0,1,1,0,2,2,2,0,4,4,3,3,3,3,3,2,1,1,1,0,0,0,3,0,3,1,3,1,1,3,0,0,,0
4550881,"DRINK, SODA TONIC WATER CANADA DRY PET PLASTIC BOTTLE",4,4,6,6,6,4,5,5,7,5,8,4,5,5,5,5,3,3,3,3,1,3,3,3,5,0,2,16,2,0.5,1,4,0,6,5.0,6
4781939,"DRINK, SODA CLUB CANADA DRY PET PLASTIC BOTTLE",24,24,23,24,24,23,23,23,23,23,23,23,23,23,23,23,13,23,8,8,12,8,8,8,16,0,9,7,9,6,8,6,12,8,6.0,8
8915027,"STRAW, GIANT 7.75 BLACK UNWRAPPED STANDARD PLASTIC",24,24,1,24,24,8,18,18,10,10,10,10,10,10,10,10,2,10,16,16,24,16,16,16,10,0,8,7,8,6,7,16,12,7,18.0,7
3002128,"SALT, KOSHER NOT IODIZED GRANULATED COARSE BOX SHELF STABLE",8,7,10,5,4,2,8,13,4,3,10,7,3,3,3,3,9,8,8,8,7,8,8,8,4,0,2,1,10,10,10,10,10,8,9.0,8
3056553,"SUGAR, RAW CANE CRYSTAL BAG TURBINADO",11,11,9,11,11,9,8,8,7,7,6,8,7,7,7,7,6,7,6,6,6,6,6,6,5,0,5,5,5,4,5,4,4,4,4.0,4
2006625,"JUICE, PINEAPPLE 100% CAN SHELF STABLE",1,12,11,12,12,11,9,11,9,9,9,6,5,5,5,5,2,3,2,2,4,2,2,2,1,0,1,,12,12,12,12,11,11,11.0,11
7221484,"JUICE, GRAPEFRUIT RUBY RED 100% PLASTIC BOTTLE SHELF STABLE",10,10,0,12,18,14,10,10,7,5,9,14,24,24,24,24,8,9,8,8,0,8,8,8,8,0,5,4,4,2,14,12,10,9,10.0,7
2327856,"JUICE, ORANGE 100% VITAMIN C ADDED ASEPTIC CARTON SHELF STABLE",20,20,15,20,20,15,8,8,9,9,0,0,0,0,0,0,3,3,24,24,3,24,24,24,14,0,11,20,3,3,3,3,3,3,3.0,3
6310726,"JUICE, CRANBERRY DRINK 27% BAR PAC MIXER PLASTIC BOTTLE SHELF STABLE",24,24,4,24,24,4,5,5,24,24,0,0,0,0,0,0,6,6,6,6,8,6,6,6,1,0,0,2,0,-,0,-,0,0,,0
6033922,"BAR MIX, SWEET and SOUR LEMON SHELF STABLE COCKTAIL",2,2,19,10,10,11,11,11,6,4,12,10,10,10,10,10,5,6,6,6,3,6,6,6,4,0,5,5,5,6,0,4,3,0,3.0,0
9057316,"BAR MIX, LIME FOIL BAG SHELF STABLE COCKTAIL",3,3,2,1.5,3,2,4,3,1,0,0,0,0,0,0,0,3,3,3,3,1,3,3,3,3,0,2,5,6,4,4,4,4,4,3.0,3
18267,"BAR MIX, MARGARITA CONCENTRATE 7:1 PLASTIC BOTTLE SHELF STABLE COCKTAIL",10,10,8,10,10,8,8,8,13,13,13,13,13,13,13,13,4,4,4,4,4,4,4,4,2,0,1,,1,12,10,12,10,9,7.0,9
3161452,"BAR MIX, MANGO PUREE CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",8,8,5,6,6,7,6,6,4,4,5,5,4,4,4,4,5.5,6,5,5,0,5,5,5,7,0,7,7,7,5.5,6,6,7,6,6.0,6
6948384,"BAR MIX, PEACH CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",2,2,0,2,3,3,3,3,4,4,2,1,3,3,3,3,12,12,12,0,10,0,10,0,9,0,7,7,7,7,8,6,6,6,4.0,4
6948426,"BAR MIX, PINA COLADA CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",0,0,0,0,3,3,3,3,3,3,3,2,2,2,2,2,0,1,1,1,0,1,1,1,0,0,0,2,0,2,2,2,0,3,-,3
7071236,"BAR MIX, STRAWBERRY CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",20,20,17,20,20,15,15,15,10,6,4,2,1,1,1,1,23,23,22,22,20,22,22,22,20,0,15,1,15,9,14,14,14,14,11.0,14
7800469,"NAPKIN, BEVERAGE WHITE 9.5X9.5 1 PLY PAPER 1/4 FOLD",1,1,10,9,7,4,4,9,9,9,13,9,4,4,4,4,5,4,3,3,0,0,0,0,2,0,0,,12,12,12,6,4,5,3.0,15
3333705,"OLIVE, MANZANILLA GREEN STUFFED PIMIENTO 300-320 COUNT SHELF STABLE GLASS J",0,0,0,4,3,2,8,7,4,9,7,4,1,1,1,1,1,10,9,9,7,9,9,9,5,0,3,1,8,8,8,7,6,6,6.0,5
1205582,"STRAWBERRY, CLAMSHELL FRESH REF",2,1,1,1,1,1,2,2,1.5,1.5,1.5,2,3,3,3,3,1.25,1.25,1,1,1,1,1,1,1,0,0.5,1,1,1,1,,2,2,2.0,2
2186153,"PINEAPPLE, GOLDEN FRESH REF",8,6,3,1,6,3,2,2,0,0,0,0,0,0,0,0,-,0,-,-,-,-,-,-,-,0,0,-,0,-,-,-,-,-,-,-
9357214,"ORANGE, NAVEL OR VALENCIA CHOICE 88 COUNT FRESH REF BOX",8,8,5,2,1,6,3,3,0,0,0,0,0,0,0,0,-,0,-,-,-,-,-,-,-,0,0,-,0,-,-,-,-,-,-,-
5881594,"CHERRY, MARASCHINO W/ STEM LARGE PLASTIC",88,88,2,88,88,2,1,1,1,1,1,1,1,1,1,1,-,0,-,-,-,-,-,-,-,0,7,-,7,-,-,-,-,-,-,-
8387194,"WATER, MINERAL GLASS BOTTLE",1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1.25,1.25,1,1,0.5,1,1,1,1,0,1.5,0.5,1.5,1,1.25,-,1,1.25,0.5,1
7804644,"CONTAINER, FOAM 9X9 1 CMPT WHITE 3.25H HINGED LID DUAL TAB OPTIONAL VENTIN",24,20,7,4,24,7,8,8,16,18,18,6,36,36,36,36,20,36,9,9,24,9,9,9,12,0,3,,36,24,24,18,18,24,8.0,35
6617609,"CONTAINER, FOAM 6X6 1 CMPT WHITE 3H HINGED LID",4,3.5,3,3,3,3.5,3,2.5,3,3,3,4,2.5,3,1,3,1,3.5,3,3,0.5,4.5,4.5,3,2,1.5,3,2,3,2,4,2,1.5,4,3.5,3.5
6861538,"CONTAINER, PLASTIC 9 HEXAGON 1 CMPT BLACK HINGED LID CARRY-OUT",1,0.5,1,1,1,1,1,1,1,0.75,1,0,1,1,1,1,2,0.5,2,0.5,0.5,1,1,1,4,4,1,4,1,3,1,3,3,1,3.0,1
6861488,"CONTAINER, PLASTIC 7 HEXAGON 1 CMPT BLACK 3 H HINGED LID CARRY-OUT",0.5,0.5,1,0.5,0.5,0.5,0,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1
738898,"BAG, CARRY-OUT 8 LB PAPER WHITE GROCERY",1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.25,0.25,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1
1310994,"BAG, FRENCH-FRY 5.5X4.5 PAPER WHITE GREASE RESISTANT",1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,0.5,0.5,0.5,0.5,1,1000,1,1000,1000,1000,1000,1000,1000,1000,900,900,1000,900,100,1000,1000,1000,1000,900.0,1000
8917627,"KIT, CUTLERY SALT-and-PEPPER K-F-S NAP HEAVYWEIGHT BLACK POLYSTYRENE PLASTIC",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,2,1.25,1.25,1.5,1.25,1.25,1.25,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1.25,1.5,1.5,1.5,1.5
7008703,"BAG, T-SHIRT 11.5X6.5X21 POLYETHYLENE WHITE THANK YOU STOCK PRINT 12 MIC CA",1.5,1,2,1,3,1.5,1.5,1.5,1,2.5,2,1.5,1.5,1,0.75,2,2.75,2.5,2.5,2,0,2,2,2,1,0.75,1,0.5,1,,2,3,2.5,2,2.3,1.5
3136199,"SUGAR SUB, PINK SWEET and LOW 1 GR SS PACKET SACCHARIN",1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5,1,0,1,1,1,1,1,1,0.25,0,0.5,0,0,1,1,1,1,1,1,1,0.5,1,0,1,1.0,1
4329314,"MUSTARD, YELLOW SS POUCH",0.5,0.5,1,0.25,0.25,1,1,1,0.25,0.25,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0.75,0.5,0.5,0.5,0.5,1,0.5,1,1,0,1.0,0
8568531,"MAYONNAISE, SS POUCH SHELF STABLE",2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,0.5,1,1,1,1,1,0.5,1
9329384,"KETCHUP, TOMATO FANCY 33% SS FOIL PACKET SHELF STABLE",0.5,0.5,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,0.5,0.5,,0.5,1,1,1,1,1,0.5,1
2835205,"BAG, FLATWARE 2.75X10 PAPER WHITE SILVERWARE",0.25,0.25,0,0,1,1,1,0.5,0.75,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,0.5,1,0,0,0.5,0
4261905,"PEPPER, JALAPENO SLICED NACHO MILD IN VINEGAR CAN SHELF STABLE",1.5,1.5,1,1,1,1,1.5,1,1,0.5,1,1.25,1.25,1,1.25,1.5,1.5,1.5,1,1,0.5,1,1,1.5,1.25,0.5,1.25,1.3,1.25,1.5,1,1,0.5,1.5,1.5,1.5
