0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
5328406,"DRESSING, RANCH BUTTERMILK REF PLASTIC JAR HOMESTYLE",5,8,0,6,12,8,14,8,7,12,11,8,11,7,8,10,5,11,3,8,4,0,8,5,3,7
8025207,"CHICKEN, GIZZARD BONELESS RAW FROZEN",8,6,6,6,4,4,4,2,8,8,5,4,3,6,4,8,8,8,6,7,6,5,5,3,,5
8366296,"SURIMI, IMITATION CRABMEAT CHUNK and FLAKE COOKED FROZEN VALUE MSC DOMESTIC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,-,-,-
3138880,"SAUSAGE, CHORIZO PORK GROUND RAW FROZEN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2
1017127,"HAM, BONELESS BUFFET NATURAL-JUICE HARDWOOD SMOKED COOKED REF BAG 3-DIAMOND",2,1,1,1,1,1,0,0,2,1,1,2,2,2,,0,0,0,0,0,0,1,1,1,,0
616400,"ROLL, HOAGIE WHITE 3.5 OZ 8 SLICED COOKED BAKED FROZEN BAG HEARTH SUBMARIN",8,6,4,4,4,0,12,9,7,6,4,11,10,14,1,6,3,15,12,12,12,12,6,6,2,14
207498,"BREAD, WHEAT BERRY 17 SLICED 11/16 LOAF FROZEN",8,8,7,6,7,6,6,6,6,8,5,3,3,2,12,8,6,8,8,8,6,8,5,8,8,5
2633394,"BREAD, RYE MARBLE 17 SLICED 5/8 LOAF BAKED FROZEN",5,3,3,2,2,0,8,8,8,6,7,5,5,3,8,8,6,6,8,7,2,8,3,8,8,
4320487,"CHILI, BEEF NO BEAN RTU TUB FROZEN",6,5,5,3,2,1,7,5,5,4,3,6,6,4,8,4,4,3,2,2,1,5,5,,4,8
5602354,"APPETIZER, CHEESE MOZZARELLA BREADED ITALIAN STICK 3.25 TFF RAW FROZEN BAG",7,4,6,1,6,5,5,4,0,8,6,3,6,2,1,2,0,4,1,4,2,0.25,4,,1.5,8
4182234,"APPETIZER, POTATO PEPPER CHEDDAR BREADED FROZEN SOUTHWESTERN MUNCHER",15,12,10,1,15,14,14,12,10,9,7,5,4,8,2,5,5,3,0,6,4,0.5,7,7,0.8,10
3041423,"CORN DOG, ALL-MEAT FROZEN",1,0.25,1,1,1,0.5,1,0.25,1,1,1,1,1,2,8,1,1,1,0.5,2,2,0.5,2,1.5,1,1
4328910,"HOT DOG, ALL-BEEF 5:1 6 ROLLER GRILL COOKED FROZEN",1.5,1.5,1.5,1,1,1,1,1,1,1,1,0.1,0,0,1,1,0.5,1,1,1,0,1,1,1,1,1
2725042,"CHICKEN, WING 1ST-and-2ND-JOINT MEDIUM RAW CVP REF UNFLAVORED",8,9,9,6,7,6,9,6,4,8,5,4,10,6,1,8,5,7,4,6,4,4,9,5,6,8
2720977,"CHICKEN, BREAST DOUBLE-LOBE RANDOM BONELESS SKINLESS RAW REF CVP JUMBO",4,2,3,3,2,1,3,0,4,3,3,1,2,3,6,3,1,4,2,2,1,1,4,2,2,2
5314208,"BEEF, CUTLET SELECT RAW FROZEN",2.25,1.5,2.5,2,2,1,1,2,1,2,2,1,2,1.5,1,1,1,2,2,1,1,0,2,2,1,2
3408822,"BEEF, RIBEYE 112A 2X2 LIP-ON RAW REF VACUUM-PACK",4,3,4,3,2,1,5,2,2,4,4,2,4,2,1,2,1,4,2,2,1,2,5,3,5,3
4558003,"BEEF, PHILLY FLAT RAW 4 OZ FROZEN BAG SLICED SOLUTION ADDED MODERATELY",2,2,2,1,0,1,2,1,1,6,5,3,3,3,2,2,0,1,1,0,0,1,1,1,,
2571705,"BEEF, CHUCK SHOULDER CLOD CHOICE ANGUS 114 BONELESS RAW REF",2,3,2,2,2,1,3,2,1,2,1,1,2,1,1,1,0,2,1,1,0,2,3,2,2,2
6740178,"SHRIMP, 41-50 WHITE PEELED-and-DEVEINED TAIL-OFF RAW IQF FROZEN BAG NO-PHOS-A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,-
6911663,"PANGASIUS, STRIPED 5-7 OZ FILLET PBO SKINLESS RAW IQF FROZEN FARMED SWAI",12,12,21,3,12,10,20,12,10,13,5,15,20,13,0,15,2.4,15,2,13,1.6,1.4,22,3.2,1,1.333333333
4661918,"SHRIMP, 16-20 WHITE PEELED-and-DEVEINED TAIL-ON RAW IMPORTED IQF FROZEN BAG F",4,7,6,2,4,2,8,4,4,5,4,2,6,4,13,2,0,3,2,2,1,4,3,2,2,3
1552124,"POTATO, FRENCH-FRY SHOESTRING 1/4 COATED CLEAR EXTRA-LONG-FANCY FROZEN",12,8,11,1,10,10,12,9,7,5,3,7,11,11,2,6,1,8,1.2,10,1.2,1.4,12,1.5,0.5,1
6083968,"POTATO, TATER NUGGET TFF PARFRIED FROZEN PUFF",12,4,13,8,9,5,13,8,7,14,8,5,14,6,8,8,4,14,8,8,6,6,8,4,4,4
7979586,"POTATO, SWEET FRENCH-FRY WAFFLE CUT THIN COATED FROZEN",7,4,3,4,4,2,6,5,3,5,4,3,7,3,5,4,2,7,5,3,3,6,5,5,5,3
6450068,"HUSH PUPPY, JALAPENO PARFRIED FROZEN BAG APPETIZER",3,2,6,2,2,1.1,4,3,2,3,3,4,3,2,5,3,2.5,3,1,3,2,2,3,2.5,1,3
1633130,"BACON,SLAB #2 CURED",1,1,1.5,1,1,1,1,0.5,1,1,1,3,3,3,2,1,1,0,1,0,1,1,1,1,,2
2240046,"BACON, PORK END and PIECE REAL DICED .25 SMOKED CURED COOKED REF GAS FLUSHED",1,1,2,1,2,1,2,1,2,2,1,2,2,1,1,1,1,0,1,2,1,1,2,1,1,1
1321470,"BROWNIE, PECAN NOT ICED SHEET 1/2 24 SLICED TRAY FROZEN",2,5,4,1,7,5,6,5,5,4,2,3,3,4,2,4,2.5,3,2,4,3,2,3,3,2,3
6758940,"ICE CREAM, VANILLA BEAN 15% BUTTERFAT FROZEN PAPER TUB ALL NATURAL",1.1,3,1.5,1,1,1,1,0.5,0.5,0.5,1,2,0,1,4,1,48,1,48,1,1,13,0,0,18,
766949,"ICE CREAM, CHOCOLATE TUB",2,1,2,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,,1,1,0,1,1,1,0.5
843771,"TOPPING, WHIPPED NON-DAIRY ULTRA PASTEURIZED AEROSOL REF",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1.5
9487478,"CHEESECAKE, RASPBERRY DONUT 10 14 SLICED TRAY FROZEN CAKE",2,13,13,11,10,10,6,10,8,8,4,12,0,8,1,12,12,11,10,9,9,0,16,0,12,13
755207,"CAKE, LAYER 2 CARROT ICED 9 14 SLICED GRANDMAS BOX FROZEN",2,1,1,0,0,0,0,0,0,2,1,2,0,0,1,1,0,2,8,1,1,8,0,0,8,
31765,"CAKE, CHOCOLATE GLAZED 5 OZ SS TRAY PACK FROZEN MOLTEN",2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,16,2,8,1,1,8,1,1,8,
5182720,"BAR MIX, GRENADINE PLASTIC SHELF STABLE COCKTAIL",1,0,4,1,1,1,1,0,0,4,4,4,0,0,1,0,0,4,3,2,2,3,0,0,18,9
5308139,"JUICE, CLAMATO DRINK 34% ORIGINAL PET PLASTIC BOTTLE SHELF STABLE",11,11,11,11,8,8,8,8,6,8,8,8,7,7,1,6,5,6,5,6,5,6,6,5,3,4
4550881,"DRINK, SODA TONIC WATER CANADA DRY PET PLASTIC BOTTLE",6,5,10,8,8,7,7,6,5,4,3,6,6,5,6,6,5,5,0,10,8,9,9,8,5,7
4781939,"DRINK, SODA CLUB CANADA DRY PET PLASTIC BOTTLE",23,23,23,4,23,4,23,23,22,22,22,22,22,22,2,22,23,22,24,22,4,22,20,18,18,12
8915027,"STRAW, GIANT 7.75 BLACK UNWRAPPED STANDARD PLASTIC",1,1,24,4,24,4,28,22,22,20,20,17,15,15,22,13,12,6,5,2,0,24,24,18,12,24
3002128,"SALT, KOSHER NOT IODIZED GRANULATED COARSE BOX SHELF STABLE",9,9,8,6,8,6,7,7,6,6,5,3,4,13,13,9,8,8,24,9,7,6,7,5,5,5
3056553,"SUGAR, RAW CANE CRYSTAL BAG TURBINADO",3,3,3,2,2,2,2,2,5,2,2,2,2,2,10,2,2,14,12,14,12,13,14,8,8,8
2006625,"JUICE, PINEAPPLE 100% CAN SHELF STABLE",6,6,6,4,5,4,5,5,2,5,5,5,5,4,2,4,2,3,2,3,4,2,3,8,8,8
7221484,"JUICE, GRAPEFRUIT RUBY RED 100% PLASTIC BOTTLE SHELF STABLE",5,2,14,13,13,14,12,12,11,20,18,13,13,11,4,4,3,15,10,13,10,10,10,9,7,6
2327856,"JUICE, ORANGE 100% VITAMIN C ADDED ASEPTIC CARTON SHELF STABLE",25,24,24,24,23,24,23,23,22,22,22,23,22,22,6,19,24,19,24,20,19,19,19,16,,15
6310726,"JUICE, CRANBERRY DRINK 27% BAR PAC MIXER PLASTIC BOTTLE SHELF STABLE",4,4,4,4,5,3,3,3,3,3,1,2,0,0,20,0,0,0,0,0,0,-,0,,,-
6033922,"BAR MIX, SWEET and SOUR LEMON SHELF STABLE COCKTAIL",10,9,9,8,8,7,9,6,6,6,5,2,2,13,0,9,9,9,5,7,6,6,6,4,,4
9057316,"BAR MIX, LIME FOIL BAG SHELF STABLE COCKTAIL",5,4,4,4,4,4,4,3,3,3,2,0,0,0,10,3,2,6,6,5,5,4,5,4,3,2
18267,"BAR MIX, MARGARITA CONCENTRATE 7:1 PLASTIC BOTTLE SHELF STABLE COCKTAIL",7,7,7,7,7,6,6,6,6,6,5,5,5,5,4,4,3,4,4,4,3,3,3,3,4,3
3161452,"BAR MIX, MANGO PUREE CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",4,4,3,3,3,3,3,3,3,3,3,2,3,2,4,2,0.5,5,5,5,4,5,5,5,5,5
6948384,"BAR MIX, PEACH CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",20,20,20,20,19,19,19,19,18,18,18,17,17,17,2,17,18,17,15,16,16,14,14,10,12,14
6948426,"BAR MIX, PINA COLADA CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",15,15,15,13,15,9,15,15,15,15,15,15,15,16,17,15,12,15,1,14,12,16,15,12,11,12
7071236,"BAR MIX, STRAWBERRY CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,-,0,0,0,0,-,0,,,-
7800469,"NAPKIN, BEVERAGE WHITE 9.5X9.5 1 PLY PAPER 1/4 FOLD",6,6,6,6,6,4,4,4,4,4,15,13,13,12,0,9,8,9,8,8,8,6,6,6,6,4
3333705,"OLIVE, MANZANILLA GREEN STUFFED PIMIENTO 300-320 COUNT SHELF STABLE GLASS J",4,4,4,16,4,16,4,3,3,11,11,10,10,10,11,9,17,12,8,8,16,16,8,8,7,7
1205582,"STRAWBERRY, CLAMSHELL FRESH REF",1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,0,0.75,1,0.5,0,0.5,1,1,1,3,1
2186153,"PINEAPPLE, GOLDEN FRESH REF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0,0,-,0,-,-,-
9357214,"ORANGE, NAVEL OR VALENCIA CHOICE 88 COUNT FRESH REF BOX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0,0,-,0,-,-,-
5881594,"CHERRY, MARASCHINO W/ STEM LARGE PLASTIC",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-,0,-,0,0,-,0,-,-,-
8387194,"WATER, MINERAL GLASS BOTTLE",1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0.5,1,0.5,1,0.5,0.5,1,,0.5,
7804644,"CONTAINER, FOAM 9X9 1 CMPT WHITE 3.25H HINGED LID DUAL TAB OPTIONAL VENTIN",33,24,16,12,9,5,4,10,8,7,0,24,21,11,1,6,0,24,13,10,10,0,24,19,16,12
6617609,"CONTAINER, FOAM 6X6 1 CMPT WHITE 3H HINGED LID",2,2,4,2,3,1,3,0,3,3,1,2,2,1,27,2,2,4,0.5,3,0.5,2,4,3,1,1
6861538,"CONTAINER, PLASTIC 9 HEXAGON 1 CMPT BLACK HINGED LID CARRY-OUT",1,3,0,2,3,2,2,0,5,0,1,4,4,4,2,3,1,1,0,5,1,4,4,4,3,3
6861488,"CONTAINER, PLASTIC 7 HEXAGON 1 CMPT BLACK 3 H HINGED LID CARRY-OUT",0.5,0.5,0,0.5,1,0,1,0,1,0,1,1,1,1,3,1.5,1,1,1,1,1,1,1,1,1,0.5
738898,"BAG, CARRY-OUT 8 LB PAPER WHITE GROCERY",0.25,0.25,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-,0,1,,
1310994,"BAG, FRENCH-FRY 5.5X4.5 PAPER WHITE GREASE RESISTANT",1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,600,1,700,1,2,500,1,500,500,1
8917627,"KIT, CUTLERY SALT-and-PEPPER K-F-S NAP HEAVYWEIGHT BLACK POLYSTYRENE PLASTIC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7008703,"BAG, T-SHIRT 11.5X6.5X21 POLYETHYLENE WHITE THANK YOU STOCK PRINT 12 MIC CA",1,2,2,1,1,0.75,1,0,2,1,1,1,0,1,1,0.5,0.5,2,1.5,1,0.5,1.5,2,0.5,2,1.5
3136199,"SUGAR SUB, PINK SWEET and LOW 1 GR SS PACKET SACCHARIN",1,0,1,1,1,1,1,0,1,1,1,1,0.5,1,1,1,0.75,1,0,1,0,1,1,1,0.5,0.5
4329314,"MUSTARD, YELLOW SS POUCH",1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
8568531,"MAYONNAISE, SS POUCH SHELF STABLE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9329384,"KETCHUP, TOMATO FANCY 33% SS FOIL PACKET SHELF STABLE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2835205,"BAG, FLATWARE 2.75X10 PAPER WHITE SILVERWARE",1.5,1.5,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0,1,0,1,1,0.8,1,1
4261905,"PEPPER, JALAPENO SLICED NACHO MILD IN VINEGAR CAN SHELF STABLE",1.5,1,1,0.75,1,0.75,1,0.5,1,1,2,2,1,1,1,0.5,0.5,1.5,1.25,2,1,1,1,0.5,1,1
4352191,"SAUCE, MARINARA TOMATO CAN SHELF STABLE DELUXE",3,7,6,5,5,5,4,3,3,8,7,4,3,2,2,5,5,4,3,3,2,2,9,8,4,6
6329205,"BEAN, GREEN BLUE LAKE CUT 3-5 SIEVE EXTRA STANDARD CANNED",7,6,5,4,3,2,8,7,6,5,3,6,5,3,7,2,2,8,6,5,5,3,2,1,5,3
9329269,"TOMATO, WHOLE IN JUICE PEELED CANNED",12,12,12,9,7,5,10,4,8,8,8,13,11,8,5,9,6,11,8,6,3,1,12,8,4,5
9261892,"TOMATILLO, CRUSHED GREEN CANNED IMPORTED MEXICO",2,2,7,7,7,7,7,6,6,6,6,5,5,3,8,2,2,2,1,7,7,6,7,6,6,5
7200736,"PICKLE, DILL CRINKLE-CUT CHIP 1/8 PLASTIC SHELF STABLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-,0,0,7,0,-,1,
6329924,"SALT, TABLE IODIZED BAG",2,1,2,2,0,1,2,1,2,1,2,2,1,3,0,0,1.5,3,1,2,3,0.5,0,2.5,1,2
760827,"SPICE, PEPPER BLACK GROUND PLASTIC JUG 30M",2.5,4,2.5,0.25,3.5,2,5,2,5,2,4,4,3,5,2,3,2,4,1,4,2,2,4,2.5,2,2
8383283,"SUGAR, WHITE CANE EXTRA FINE BAG",1,1,1,0.25,0,0.25,0,0,1,1,1,1,1,1,5,1,0,1,1,1,1,0.5,1,,1,1
8047557,"MIX, GRAVY PEPPER ADD WATER",0.25,1,1,0.5,1.25,1,1,0.25,2,1,2,1,0.25,1,1,0.75,0,2.5,3,2,1,1.25,1.5,1.3,1,1
3749580,"MIX, GRAVY BROWN POUCH SHELF STABLE CLASSIC",2.5,2,2,2,2,2,2,1.5,1.5,2,1,1,0.5,0.5,1.25,1,1,1,1,1,1,1,0.5,,2,2
6326698,"ONION, YELLOW WHOLE SUPER COLOSSAL 4 1/4+ FRESH REF BAG",11,10,10,1,16,12,10,4,13,13,11,13,10,6,2,12,10,13,0,11,8,5,9,5,3,7
4326690,"ONION, RED JUMBO FRESH REF BAG",9,12,8,1,17,15,14,10,9,12,8,13,10,12,7,2,0,15,7,15,11,7,14,10,8,4
4289443,"POTATO, YUKON GOLD A SIZE FRESH REF",0,1,2,0.25,1,0.5,2,1,1,1,1,1,1,2,9,1,1,1,1.5,1,1,0.5,2,1.5,1,1
2326700,"POTATO, RUSSET IDAHO 40 COUNT FRESH REF",0.5,0.5,1,0.5,1,0.5,1,0,1,1,1,1,1,1,0,1,0,1,0.2,1,1,0.5,1,0.5,0.5,
9579777,"BASE, SOUP CHICKEN FLAVOR GRANULAR PAIL SHELF STABLE",1,2,2,1,2,2,2,0.5,2,1,1,1,2,2,1,2,1,2,1,2,0.5,1.5,2,1,1,1.75
2228849,"BREADER, FISH SEASONED BAG",2,3,4,2,2,0.25,3,1,2,4,1,1,4,2,1,3,2.5,3,1.5,2,2,2,4,2.5,2,2.5
7501752,"KETCHUP, TOMATO FANCY 33% RED PLASTIC BOTTLE SHELF STABLE",0.75,0.5,0.5,0.25,1.25,1.5,1,2,1,1,1,1,1,1,1,1,0.25,1,1.25,1,1,1,1,1,1,1
190009,"KETCHUP, TOMATO FANCY 33% BAG-IN-BOX SHELF STABLE",1,1,1.5,1,0,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,,1,0.25
7637705,"SHORTENING, FRYING RICE BRAN LIQUID CLEAR NON GMO OIL",24,34,32,1,52,48,5,50,24,30,45,40,38,31,1,53,24,28,24,28,24,24,48,12,4,28
7329113,"MAYONNAISE, EXTRA-HEAVY PLASTIC JUG SHELF STABLE",1.5,1,1.5,1,1,1,1,0,1,1,1,1,1,1,11,1,1,1,0,1,1,0.25,1,1,1,1
4364063,"MUSTARD, YELLOW PLASTIC JAR SHELF STABLE",1.5,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0.25,1,1,1,1,1,0.8,0.25
3636982,"SAUCE, WORCESTERSHIRE PLASTIC JUG SHELF STABLE",3,2,1,3,3,2,3,2,2,5,1,4,3,6,1,2,2,2,1,5,4,3,6,6,5,3
698688,"OIL, BUTTER ALTERNATIVE SOYBEAN SALTED LIQUID PLASTIC BOTTLE",3,2,2,2,1,1,1,1,1,1,1,1,1,0,4,1,1,1,1,1,0,1,1,1,,1
8003956,"SAUCE, TERIYAKI GLAZE PLASTIC JUG SHELF STABLE",1,2,2,1,1.5,1,1,1.25,1,1,1,1,1,1,1,1,1,1,0.75,1,0.75,1,1,1,0.5,0.5
78964,"SAUCE, BBQ PLASTIC JUG SHELF STABLE ORIGINAL",5,4,3,2,5,5,4,3,3,5,3,4,4,6,1,5,4,4,3,2,2,4,4,3,1,3
9837196,"SAUCE, CHILI SWEET PLASTIC JUG SHELF STABLE WING",1,4,3,3,3,3,2,2,2,4,4,2,2,4,3,2,1,4,4,3,3,2,2,2,1,4
1328335,"VINEGAR, DISTILLED WHITE DOMESTIC 50 GRAIN PLASTIC JUG",0.5,1,1,1,1,1,1,0,1,1,1,1,1,1,3,1,0,1,0,1,1,1.25,2,1.5,1.25,1
9002080,"SAUCE, STEAK A-1 GLASS BOTTLE SHELF STABLE",4,4,4,4,4,4,4,4,4,1,5,5,5,5,1,2,0,5,5,5,5,5,6,5,2,2
3018538,"SAUCE, HOT GLASS BOTTLE SHELF STABLE ORIGINAL",1,0,4,4,4,4,3,3,3,3,2,1,1,0,2,3,3,2,3,2,1,0,4,4,3,3
8218208,"SAUCE, HOT LOUISIANA GLASS BOTTLE SHELF STABLE",5,5,5,4,6,3,5,6,6,5,5,5,5,5,4,5,5,5,4,4,2,2,5,4,6,4
5610571,"CROUTON, SEASONED CUBE SS .5X.5X.5",11,11,11,1,10,10,8,11,10,8,9,10,10,33,5,29,26,29,24,28,24,24,27,24,24,12
